PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,HeuBug
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,1,0,2,1,FALSE
0,1,0,2,1,FALSE
0,1,0,3,1,FALSE
0,1,0,2,1,FALSE
79,1,0,0,2,FALSE
100,1,0,5,2,FALSE
87,1,0,1,1,FALSE
55,1,0,2,2,FALSE
0,1,0,2,1,FALSE
58,2,0,3,1,FALSE
89,1,0,3,2,FALSE
100,9,0,18,2,FALSE
100,5,0,3,2,FALSE
80,3,0,12,2,FALSE
50,1,0,0,2,FALSE
0,1,0,1,1,FALSE
100,5,0,2,2,FALSE
72,1,0,1,1,FALSE
0,3,0,12,2,FALSE
0,1,0,1,2,FALSE
33,1,1,0,2,FALSE
0,2,1,2,1,FALSE
0,0,1,1,0,FALSE
41,1,1,2,2,FALSE
70,3,0,1,1,FALSE
80,1,0,3,2,FALSE
0,3,0,0,1,FALSE
100,3,1,2,1,FALSE
77,3,2,12,3,FALSE
71,4,5,1,1,FALSE
100,5,0,2,1,FALSE
100,5,0,2,1,FALSE
100,6,0,10,1,FALSE
33,1,2,2,2,FALSE
0,2,0,7,2,TRUE
0,0,0,0,0,FALSE
0,0,0,1,0,FALSE
0,0,0,0,0,FALSE
0,0,7,1,0,FALSE
50,1,0,3,2,FALSE
50,2,0,3,2,FALSE
74,2,0,8,2,FALSE
0,2,0,3,1,FALSE
100,2,0,1,2,FALSE
0,5,0,4,2,FALSE
100,5,0,0,1,FALSE
50,2,0,10,3,FALSE
100,5,0,0,1,FALSE
66,2,0,8,2,FALSE
33,2,0,7,2,FALSE
0,3,0,0,1,FALSE
0,2,0,0,1,FALSE
77,4,3,8,1,FALSE
97,3,9,23,1,FALSE
100,1,0,2,2,FALSE
80,4,16,6,2,TRUE
92,6,2,31,3,FALSE
0,2,0,0,1,FALSE
100,5,1,2,1,FALSE
100,1,3,1,2,FALSE
55,2,0,4,1,FALSE
71,1,3,1,2,FALSE
71,1,1,1,2,FALSE
100,2,0,1,1,FALSE
100,4,0,10,1,TRUE
95,5,5,7,1,FALSE
87,5,8,5,2,FALSE
100,6,1,7,2,FALSE
100,6,4,3,1,TRUE
100,3,7,1,1,FALSE
0,0,4,0,0,FALSE
0,0,1,1,0,FALSE
100,6,21,7,2,FALSE
100,5,66,7,2,FALSE
100,7,8,7,2,FALSE
100,7,1,2,2,FALSE
100,7,3,6,2,FALSE
100,6,16,8,2,FALSE
0,0,7,1,0,FALSE
100,7,0,4,1,FALSE
75,5,0,8,1,FALSE
100,7,0,3,2,FALSE
100,7,0,3,2,FALSE
83,6,1,9,1,FALSE
100,4,0,0,1,FALSE
98,1,1,99,3,TRUE
75,1,1,2,2,FALSE
100,2,0,2,2,FALSE
100,2,0,2,2,FALSE
100,2,0,2,2,FALSE
100,2,0,2,2,FALSE
37,1,0,1,2,FALSE
0,2,0,0,1,FALSE
100,2,0,2,2,FALSE
0,0,2,0,0,FALSE
0,0,2,1,0,FALSE
0,0,5,1,0,FALSE
0,0,1,1,0,FALSE
0,0,2,1,0,FALSE
82,2,0,6,2,FALSE
100,1,0,1,1,FALSE
0,2,0,2,2,FALSE
100,2,7,10,2,FALSE
0,0,2,0,0,FALSE
70,1,0,6,2,FALSE
0,1,0,0,2,FALSE
75,3,0,1,1,FALSE
100,3,2,0,1,FALSE
100,1,12,2,2,FALSE
0,0,4,1,0,FALSE
33,1,0,3,2,FALSE
0,3,0,2,1,FALSE
0,1,1,2,2,FALSE
0,4,2,3,2,FALSE
33,4,2,5,2,FALSE
55,4,0,2,1,FALSE
50,4,0,1,2,FALSE
90,2,1,3,2,FALSE
100,2,0,1,1,FALSE
81,3,1,2,1,FALSE
100,1,55,7,4,FALSE
100,4,5,1,1,FALSE
55,3,0,1,1,FALSE
50,2,0,3,1,FALSE
0,2,0,2,2,FALSE
100,2,0,5,2,FALSE
100,4,21,70,8,TRUE
78,1,0,3,2,FALSE
16,1,0,13,2,FALSE
82,1,1,4,2,FALSE
70,1,0,16,2,FALSE
0,1,3,0,1,FALSE
60,1,0,23,2,FALSE
0,1,0,10,2,FALSE
0,1,3,13,2,FALSE
100,1,0,0,1,FALSE
0,1,1,2,1,FALSE
0,0,4,1,0,FALSE
0,1,2,2,1,FALSE
50,1,0,3,2,FALSE
50,1,0,4,2,FALSE
50,1,0,1,2,FALSE
92,1,0,1,2,FALSE
84,1,0,5,3,TRUE
80,1,0,5,2,TRUE
0,0,3,0,0,FALSE
100,3,10,1,2,FALSE
0,0,1,1,0,FALSE
0,0,3,1,0,FALSE
0,0,1,2,0,FALSE
0,3,0,1,1,FALSE
0,3,3,1,1,FALSE
0,0,0,1,0,FALSE
0,0,2,2,0,FALSE
0,0,6,1,0,FALSE
0,1,0,8,2,FALSE
0,1,1,2,2,FALSE
0,1,6,0,1,FALSE
0,1,2,0,1,FALSE
100,4,1,1,1,FALSE
0,1,3,0,1,FALSE
0,3,6,0,1,FALSE
0,0,1,1,0,FALSE
100,4,3,1,1,FALSE
0,0,1,1,0,FALSE
0,1,0,1,2,FALSE
0,1,4,0,1,FALSE
86,1,0,12,1,FALSE
80,1,1,17,1,FALSE
93,2,1,12,1,TRUE
65,1,0,3,1,FALSE
0,1,0,3,2,FALSE
100,1,0,9,2,FALSE
50,4,0,1,1,FALSE
100,3,0,5,1,FALSE
100,3,26,5,1,FALSE
100,3,2,6,1,FALSE
66,4,0,3,1,FALSE
91,4,27,13,2,TRUE
90,2,2,20,1,FALSE
75,5,2,4,1,FALSE
100,5,0,0,1,FALSE
0,3,0,0,1,FALSE
100,5,0,5,2,FALSE
0,1,5,3,2,FALSE
90,5,3,6,2,FALSE
86,6,2,11,1,FALSE
94,7,2,5,1,TRUE
79,5,2,2,2,FALSE
92,6,2,3,1,FALSE
66,5,0,9,2,FALSE
0,2,0,5,1,FALSE
25,4,0,13,2,FALSE
90,6,16,2,2,TRUE
92,5,0,9,1,TRUE
100,6,2,5,2,FALSE
92,8,5,9,1,FALSE
66,6,0,4,1,FALSE
75,6,0,4,1,FALSE
100,6,0,8,2,FALSE
85,6,2,7,1,FALSE
46,1,4,1,2,FALSE
100,8,8,6,2,FALSE
100,8,0,4,1,FALSE
75,2,0,5,2,FALSE
100,4,72,45,2,TRUE
96,5,10,28,3,TRUE
50,4,1,4,1,FALSE
100,6,7,6,1,FALSE
100,8,1,1,1,FALSE
0,3,3,0,1,FALSE
0,0,1,0,0,FALSE
100,4,1,1,1,FALSE
0,0,2,1,0,FALSE
0,1,2,1,1,FALSE
0,0,1,0,0,FALSE
0,1,1,1,1,FALSE
67,7,0,7,2,FALSE
100,4,5,1,1,FALSE
70,4,4,3,2,FALSE
68,9,0,3,1,FALSE
92,7,2,7,2,FALSE
72,8,1,4,2,TRUE
