PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,HeuBug
0,2,0,0,1,FALSE
40,2,0,0,1,FALSE
90,2,1,3,2,FALSE
0,1,0,0,1,FALSE
71,2,0,7,2,FALSE
88,1,0,27,2,TRUE
85,2,0,5,1,FALSE
65,1,0,2,1,FALSE
83,1,0,3,2,TRUE
0,2,0,8,1,TRUE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
50,1,2,0,1,FALSE
0,1,0,0,1,FALSE
96,1,0,2,1,FALSE
0,0,1,0,0,FALSE
25,1,0,1,1,FALSE
40,2,0,0,1,FALSE
0,2,1,0,1,FALSE
0,2,1,0,1,FALSE
0,1,0,0,1,FALSE
50,2,0,1,1,FALSE
53,1,0,3,2,FALSE
0,2,1,0,1,FALSE
80,1,0,0,2,FALSE
0,1,0,2,1,FALSE
100,2,5,3,1,TRUE
0,2,0,2,1,FALSE
65,1,0,3,3,FALSE
50,3,0,2,3,FALSE
66,2,0,11,1,FALSE
50,1,0,2,2,FALSE
0,1,0,1,2,FALSE
0,1,0,1,2,FALSE
50,1,2,5,2,FALSE
0,0,3,1,0,FALSE
0,0,1,0,0,FALSE
0,0,4,1,0,FALSE
76,1,0,10,2,FALSE
88,1,0,7,2,FALSE
0,1,0,0,1,FALSE
75,1,0,29,2,FALSE
0,2,0,1,2,FALSE
0,2,0,0,2,FALSE
33,2,0,2,2,FALSE
14,2,2,2,2,FALSE
0,2,0,0,1,FALSE
33,2,0,2,2,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
0,2,0,0,1,FALSE
50,2,0,6,1,FALSE
62,2,0,7,1,FALSE
98,1,0,0,1,FALSE
60,1,0,1,2,FALSE
61,1,0,1,2,FALSE
65,1,0,2,2,FALSE
62,1,0,1,2,FALSE
75,1,0,14,2,FALSE
0,1,0,0,2,FALSE
0,2,0,3,1,FALSE
79,1,0,6,2,FALSE
57,1,0,7,2,FALSE
0,2,0,3,2,FALSE
0,2,0,8,1,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
88,1,0,24,2,TRUE
0,2,0,0,2,FALSE
25,1,0,2,2,FALSE
12,1,0,2,2,FALSE
0,1,0,0,1,FALSE
64,1,0,2,1,FALSE
87,2,0,18,3,TRUE
100,2,0,23,2,TRUE
100,2,0,6,3,FALSE
87,2,0,2,2,FALSE
66,5,0,5,1,TRUE
71,5,0,7,1,TRUE
0,0,0,0,0,FALSE
0,2,0,1,1,FALSE
66,2,0,2,1,FALSE
0,2,0,9,1,TRUE
0,2,0,18,1,FALSE
56,1,0,0,2,FALSE
0,1,0,1,2,FALSE
100,2,0,0,1,FALSE
41,1,0,5,1,FALSE
100,1,0,17,3,FALSE
54,1,0,3,2,FALSE
0,2,0,3,1,FALSE
65,2,0,6,1,FALSE
99,1,2,1,2,FALSE
0,1,0,1,2,FALSE
