"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.0794415","0.6931472","0.6931472","2.3978953","3.6635616","2.6390574","0.6931472","2.3025851","1.7917595","0.5596158","5.4424176","0.6931472","0.0","0.0","0.31845373","0.0","0.0","3.4834354","3.0445225","1.4880836","No"
"2.3025851","0.6931472","0.0","3.2580965","2.3025851","3.6109178","3.1354942","1.609438","2.3025851","1.0986123","2.3025851","0.0","0.0","0.0","0.25951123","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.3862944","1.0986123","0.0","2.4849067","3.465736","1.3862944","0.0","2.4849067","1.3862944","1.0986123","4.962845","0.0","0.0","0.5596158","0.44183278","0.0","0.0","3.8572147","2.3978953","1.5404521","No"
"1.0986123","1.0986123","0.0","2.0794415","2.3025851","0.6931472","0.0","2.0794415","1.0986123","1.0986123","3.0445225","0.0","0.0","0.62860864","0.5596158","0.0","0.0","2.3025851","0.6931472","0.4054651","No"
"2.5649493","1.0986123","0.0","2.3978953","3.637586","2.7080503","1.0986123","2.1972246","2.5649493","0.6049545","5.9687076","0.5389965","0.0","0.43286413","0.26236424","0.0","0.0","3.4631283","3.4339871","1.4663295","No"
"1.0986123","0.6931472","0.0","2.5649493","2.7080503","0.0","0.6931472","2.5649493","1.0986123","0.0","4.356709","0.6931472","0.0","0.0","0.5596158","0.0","0.0","3.637586","1.609438","1.0986123","Yes"
"2.1972246","0.6931472","0.0","2.7080503","4.189655","3.0445225","0.6931472","2.6390574","1.3862944","0.4519851","6.315358","0.6931472","0.6931472","0.0","0.21905357","0.0","0.0","4.230477","3.295837","1.9278916","Yes"
"1.3862944","1.3862944","0.0","2.0794415","2.7725887","1.3862944","0.0","2.0794415","1.3862944","1.0986123","3.8501475","0.0","0.0","0.5753642","0.44183278","0.0","0.0","2.730029","1.3862944","0.8472836","No"
"1.0986123","1.3862944","0.0","1.7917595","3.3672957","0.6931472","1.3862944","1.3862944","0.6931472","1.0986123","5.056246","0.0","0.0","0.67445505","0.5108257","1.0986123","1.7917595","4.356709","1.7917595","1.2527629","No"
"2.0794415","0.6931472","0.0","0.6931472","2.1972246","0.0","0.6931472","0.0","2.0794415","0.54361546","4.65396","0.6931472","0.0","0.0","0.35667497","0.0","0.0","2.6390574","1.7917595","0.8873149","No"
"2.3978953","1.0986123","2.0794415","2.7080503","3.583519","0.0","2.0794415","2.0794415","2.3978953","0.0","5.159055","0.6931472","0.0","0.46430555","0.24946083","0.0","0.0","2.8449094","1.3862944","0.91629076","No"
"1.7917595","0.6931472","0.0","2.4849067","2.944439","2.3978953","1.0986123","2.3025851","1.609438","0.6931472","4.8441873","0.6931472","0.0","0.0","0.4595323","0.0","0.0","3.218876","0.6931472","0.47000363","No"
"1.0986123","0.6931472","0.0","2.3025851","1.0986123","0.6931472","2.1972246","0.6931472","1.0986123","1.0986123","1.0986123","0.0","0.0","0.0","0.5596158","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.609438","0.6931472","0.0","2.0794415","1.609438","1.9459101","1.9459101","0.6931472","1.609438","1.0986123","1.609438","0.0","0.0","0.0","0.53062826","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.9459101","0.6931472","0.0","2.3978953","3.583519","1.3862944","0.6931472","2.3025851","1.3862944","0.3364722","4.983607","0.6931472","0.0","0.0","0.22314355","0.0","0.0","3.1780539","1.3862944","0.6931472","No"
"0.6931472","0.6931472","0.0","0.0","1.0986123","0.0","0.0","0.0","0.6931472","1.0986123","1.609438","0.0","0.0","0.0","0.6931472","0.0","0.0","1.3862944","0.0","0.0","No"
"3.295837","0.6931472","0.0","2.8332133","3.465736","5.5053315","2.5649493","1.609438","3.218876","0.66440475","5.267858","0.5108257","0.6931472","0.0","0.1775483","0.0","0.0","1.9404005","1.609438","0.852797","No"
"1.609438","1.3862944","0.0","2.4849067","3.218876","1.609438","1.3862944","2.1972246","1.609438","1.0986123","5.241747","0.0","0.0","0.53062826","0.4054651","0.0","0.0","3.8501475","2.3978953","1.658228","No"
"3.1354942","0.6931472","0.0","1.0986123","3.1354942","5.4467373","1.0986123","0.0","3.1354942","1.0986123","3.1354942","0.0","0.0","0.0","0.18610232","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.3862944","0.6931472","0.0","2.4849067","3.3322046","0.6931472","1.0986123","2.3025851","1.0986123","0.4054651","5.117994","0.6931472","0.0","0.0","0.4054651","0.0","0.0","4.0073333","2.4849067","1.5404521","No"
"1.7917595","0.6931472","0.0","2.1972246","2.8903718","0.0","1.0986123","1.9459101","1.7917595","0.22314355","4.828314","0.6931472","0.0","0.0","0.47000363","0.0","0.0","3.2027464","1.7917595","1.3862944","No"
"2.1972246","1.0986123","0.0","2.3025851","3.4965076","0.0","1.0986123","2.0794415","2.1972246","0.4519851","5.3936276","0.6931472","0.6931472","0.5007753","0.31845373","0.0","0.0","3.295837","2.7725887","1.2878543","No"
"1.3862944","0.6931472","0.0","1.0986123","1.609438","0.0","1.0986123","0.0","1.3862944","0.0","3.0445225","0.6931472","0.0","0.0","0.6931472","0.0","0.0","1.8458267","0.6931472","0.5108456","No"
"2.1972246","0.6931472","0.0","2.3978953","3.4011974","3.0445225","0.6931472","2.3978953","1.3862944","0.5389965","4.836282","0.6931472","0.6931472","0.0","0.21905357","0.0","0.0","2.7327428","1.3862944","0.8109302","Yes"
"2.8332133","0.6931472","0.0","1.609438","3.4011974","4.0775375","0.6931472","1.3862944","2.7725887","0.61968005","5.2983174","0.6931472","0.0","0.0","0.24512246","0.0","0.0","2.4796846","2.3025851","0.94098336","Yes"
"1.9459101","0.6931472","0.0","1.609438","2.944439","2.6390574","0.6931472","1.609438","1.3862944","0.5877866","4.060443","0.6931472","0.0","0.0","0.1823216","0.0","0.0","2.2335923","0.6931472","0.5108456","No"
