"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.3862944","0.6931472","0.0","1.3862944","2.9957323","0.0","0.0","1.3862944","1.0986123","0.5596158","4.65396","0.4054651","0.0","0.0","0.5108257","0.0","0.0","3.5263605","0.6931472","0.5108456","No"
"1.3862944","1.7917595","0.0","1.9459101","2.7080503","1.3862944","1.7917595","1.0986123","1.3862944","1.0986123","3.9702919","0.0","0.0","0.6773988","0.44183278","0.6931472","0.6931472","2.8526316","1.3862944","0.9808417","No"
"2.3978953","0.6931472","0.0","2.7725887","3.6888795","2.9957323","1.609438","2.5649493","2.1972246","0.6359887","5.8435445","0.22314355","0.6931472","0.0","0.20585205","0.0","0.0","3.5145261","1.3862944","0.7419373","No"
"3.218876","1.3862944","0.0","2.8903718","4.7791233","4.2904596","1.0986123","2.7725887","2.8903718","0.6159687","6.972606","0.6505876","0.6931472","0.4803664","0.16989905","1.3862944","1.609438","3.782294","1.9459101","0.9963212","Yes"
"2.5649493","0.6931472","0.0","1.3862944","3.1354942","3.8066626","0.6931472","1.0986123","1.7917595","0.59066856","5.056246","0.6931472","0.6931472","0.0","0.23262227","0.0","0.0","2.5190396","1.609438","0.8109302","No"
"2.9957323","1.3862944","0.0","2.3978953","4.1271343","4.912655","0.0","2.3978953","2.8332133","0.6359887","6.2245584","0.6931472","0.0","0.51445544","0.32132044","0.6931472","0.6931472","3.2499664","2.6390574","1.0809234","No"
"1.0986123","1.3862944","0.0","1.3862944","2.0794415","0.6931472","0.6931472","1.3862944","1.0986123","1.0986123","3.1780539","0.0","0.0","0.67787975","0.6931472","0.0","0.0","2.442347","0.6931472","0.4054651","No"
"1.3862944","1.0986123","0.0","1.609438","1.9459101","0.0","0.6931472","1.3862944","1.3862944","0.0","3.4339871","0.6931472","0.0","0.597837","0.5108257","0.0","0.0","2.2686837","1.0986123","0.6931472","No"
"3.1780539","1.609438","1.0986123","3.1354942","4.356709","5.0106354","1.0986123","3.0445225","2.8332133","0.60251355","7.0604763","0.6931472","1.609438","0.5753642","0.13353144","1.3862944","2.0794415","3.9102824","2.9957323","1.1952246","No"
"2.5649493","1.3862944","0.0","2.4849067","3.6635616","1.0986123","1.0986123","2.3978953","2.1972246","0.34294474","5.4161005","0.6931472","0.0","0.54910785","0.18058391","1.0986123","1.3862944","2.9177706","1.609438","1.0414422","Yes"
"2.0794415","0.6931472","0.0","1.0986123","2.1972246","0.0","1.0986123","0.0","0.6931472","0.4054651","6.98749","0.0","0.0","0.0","0.5108257","0.0","0.0","5.0388064","1.0986123","0.6190161","No"
"3.0445225","1.609438","0.0","2.6390574","4.5849676","4.762174","0.6931472","2.6390574","2.8332133","0.62509376","6.7979403","0.6931472","0.0","0.5667333","0.17395335","1.609438","1.609438","3.7807746","0.6931472","0.6678294","Yes"
"2.3025851","0.6931472","0.0","2.1972246","3.1780539","0.0","1.7917595","1.3862944","2.1972246","0.4054651","5.0039463","0.6931472","0.6931472","0.0","0.25378054","0.0","0.0","2.76562","1.609438","0.8472836","No"
"1.3862944","1.0986123","0.0","1.7917595","2.0794415","0.6931472","0.6931472","1.609438","1.3862944","0.4054651","3.4011974","0.6931472","0.0","0.597837","0.5108257","0.0","0.0","2.2335923","0.6931472","0.5108456","No"
"3.4339871","0.6931472","0.0","3.465736","4.189655","5.7170277","3.4011974","1.609438","3.295837","0.52452445","6.453625","0.6931472","0.0","0.0","0.16325758","0.0","0.0","3.0461085","2.944439","1.1735033","Yes"
"1.3862944","1.9459101","0.0","2.0794415","2.4849067","1.3862944","1.7917595","1.3862944","1.3862944","1.0986123","3.637586","0.0","0.0","0.67787975","0.6931472","1.0986123","1.3862944","2.5123055","1.0986123","0.8472836","No"
"3.4339871","1.3862944","0.0","2.7725887","4.7004805","5.9814143","1.609438","2.6390574","2.6390574","0.625795","6.8351846","0.44183278","1.609438","0.41689378","0.19161731","0.6931472","0.6931472","3.4231763","2.1972246","1.0874503","No"
"2.1972246","1.7917595","0.0","2.3025851","3.4011974","0.0","0.6931472","2.1972246","1.7917595","0.4519851","5.236442","0.6931472","0.0","0.6007739","0.31845373","1.0986123","1.7917595","3.1354942","1.609438","0.7537718","No"
"2.3025851","1.0986123","0.0","2.8903718","4.304065","2.7080503","2.0794415","2.8332133","1.609438","0.54522705","6.070738","0.6931472","1.7917595","0.53551817","0.24294616","0.6931472","0.6931472","3.8595593","0.6931472","0.5753767","Yes"
"3.1780539","1.3862944","0.0","2.7725887","4.4886365","5.3082676","0.0","2.7725887","2.9957323","0.6136209","6.295266","0.6931472","0.6931472","0.4868107","0.13534132","1.0986123","1.0986123","3.1373827","2.6390574","1.1411607","No"
"0.6931472","0.6931472","0.0","2.8332133","0.6931472","0.0","2.7725887","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"3.4339871","1.3862944","0.0","3.9512436","4.634729","5.710427","3.713572","2.6390574","3.218876","0.4721565","7.12206","0.4054651","0.6931472","0.42285687","0.11496934","1.0986123","1.9459101","3.7184384","2.7725887","1.2901413","No"
"2.1972246","1.7917595","0.0","1.9459101","3.295837","0.0","0.6931472","1.7917595","1.7917595","0.4519851","5.1532917","0.6931472","0.0","0.6007739","0.31845373","1.0986123","1.7917595","3.0504572","1.609438","0.7537718","No"
"1.3862944","1.3862944","0.0","1.3862944","2.3978953","0.0","0.0","1.3862944","1.3862944","0.0","3.4965076","0.6931472","0.0","0.6671717","0.5108257","0.0","0.0","2.3353748","0.6931472","0.5108456","No"
"1.9459101","0.6931472","0.0","0.6931472","2.1972246","0.0","0.0","0.6931472","1.9459101","0.0","3.7841897","0.6931472","0.6931472","0.0","0.5108257","0.0","0.0","1.9459101","0.6931472","0.6061176","No"
"1.3862944","1.0986123","0.0","2.3025851","3.3672957","1.3862944","0.6931472","2.1972246","1.0986123","1.0986123","5.049856","0.0","0.0","0.6523252","0.6931472","0.6931472","0.6931472","3.9448128","2.4849067","1.609438","Yes"
"2.6390574","1.7917595","0.0","2.4849067","3.5553482","4.2341065","1.7917595","2.0794415","2.5649493","0.5596158","5.2983174","0.6931472","0.0","0.60858977","0.25642955","1.0986123","2.1972246","2.7182543","1.7917595","1.1486081","No"
"2.1972246","1.7917595","0.0","2.3978953","3.1780539","0.0","1.7917595","1.7917595","2.1972246","0.56639546","5.293305","0.4054651","0.0","0.61217815","0.30010462","0.6931472","1.609438","3.1780539","1.9459101","1.178655","No"
"1.9459101","1.7917595","0.0","2.3025851","3.1354942","0.0","1.609438","1.7917595","1.9459101","0.47000363","4.6634393","0.4054651","0.0","0.633249","0.28768212","1.0986123","1.7917595","2.8429694","1.609438","0.9808417","No"
"1.3862944","1.609438","0.0","1.609438","3.0910425","1.3862944","0.0","1.609438","0.6931472","0.91629076","4.9767337","0.6931472","0.0","0.67334455","0.6931472","1.0986123","1.3862944","3.8642323","2.3025851","1.4663295","No"
"1.7917595","1.3862944","0.0","1.7917595","2.7725887","1.609438","0.0","1.7917595","1.7917595","0.5596158","4.5108595","0.6931472","0.0","0.64313674","0.42744398","0.0","0.0","2.85647","0.6931472","0.5877866","No"
"1.3862944","0.6931472","0.0","1.3862944","1.3862944","1.3862944","1.0986123","0.6931472","1.3862944","1.0986123","1.3862944","0.0","0.0","0.0","0.5108257","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.0986123","1.3862944","0.0","0.0","1.3862944","0.6931472","0.0","0.0","1.0986123","1.0986123","2.0794415","0.0","0.0","0.6466272","0.5596158","0.6931472","0.6931472","1.2527629","0.6931472","0.4054651","No"
"1.3862944","0.6931472","0.0","1.3862944","2.8903718","0.0","1.0986123","0.6931472","1.3862944","0.22314355","5.32301","0.6931472","0.0","0.0","0.5108257","0.0","0.0","4.199705","1.0986123","0.6931472","No"
"3.1354942","1.7917595","0.6931472","2.8903718","4.304065","5.0238805","1.609438","2.7725887","2.7080503","0.6143663","6.4281054","0.6931472","0.0","0.5423243","0.200154","0.0","0.0","3.3174863","2.0794415","0.96941435","Yes"
