"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.0986123","1.0986123","0.0","1.3862944","1.609438","0.6931472","0.0","1.3862944","1.0986123","1.0986123","2.3978953","0.0","0.0","0.5108257","0.5108257","0.0","0.0","1.609438","0.6931472","0.4054651","No"
"2.3978953","0.6931472","0.0","1.609438","3.637586","0.0","0.0","1.609438","2.3025851","0.32850403","5.6312118","0.6931472","0.0","0.0","0.29266962","0.0","0.0","3.3178158","1.7917595","0.9555114","No"
"3.3322046","0.6931472","0.0","0.6931472","3.7841897","2.6390574","0.6931472","0.0","2.6390574","0.47060442","7.0690236","0.6931472","0.0","0.0","0.22560966","0.0","0.0","3.7654974","3.295837","1.9081638","No"
"0.6931472","0.6931472","0.0","3.0910425","0.6931472","0.0","3.0445225","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.3862944","0.6931472","1.0986123","2.9957323","1.609438","1.3862944","2.944439","0.6931472","1.3862944","1.0986123","2.0794415","0.0","0.0","0.0","0.6931472","0.0","0.0","0.8472979","0.6931472","0.5108456","Yes"
"1.0986123","1.3862944","0.0","2.1972246","2.1972246","0.6931472","1.0986123","1.9459101","0.0","1.0986123","4.1271343","0.0","0.0","0.6690496","0.4595323","0.6931472","0.6931472","3.4177268","0.6931472","0.4054651","Yes"
"2.0794415","1.0986123","0.0","1.9459101","3.4339871","0.6931472","0.6931472","1.7917595","2.0794415","0.0","5.924256","0.6931472","0.0","0.13353144","0.27329338","0.6931472","0.6931472","3.9621727","2.5649493","1.5198194","No"
"0.6931472","0.6931472","0.0","1.7917595","1.0986123","0.0","1.609438","0.6931472","0.6931472","1.0986123","2.8332133","0.0","0.6931472","0.0","0.6931472","0.0","0.0","2.5649493","0.0","0.0","Yes"
"2.3025851","1.0986123","1.3862944","1.609438","2.7080503","0.0","1.3862944","0.6931472","1.9459101","0.4542553","5.32301","0.5877866","0.0","0.4818381","0.34830666","0.6931472","1.609438","3.0960803","1.0986123","0.6931472","Yes"
"1.9459101","0.6931472","0.0","2.1972246","3.4011974","0.0","1.0986123","1.9459101","0.0","0.3621147","5.9506426","0.5465437","1.7917595","0.0","0.39147884","0.0","0.0","4.1271343","0.6931472","0.5108456","Yes"
"2.7725887","1.0986123","0.6931472","2.9957323","3.9318256","0.0","1.0986123","2.944439","2.6390574","0.38946474","6.324359","0.6931472","0.6931472","0.4769241","0.22462389","0.6931472","1.7917595","3.6091144","1.9459101","0.81832504","Yes"
"1.7917595","1.609438","0.0","1.0986123","2.944439","0.0","0.6931472","0.6931472","1.609438","0.4382549","5.9427996","0.3364722","0.6931472","0.6241543","0.3364722","0.6931472","0.6931472","4.317488","2.7080503","1.7578579","Yes"
"2.8903718","1.0986123","0.0","2.5649493","4.0253515","2.5649493","1.3862944","2.3978953","2.6390574","0.48550782","6.003887","0.6931472","0.0","0.35667497","0.14740525","1.0986123","1.609438","3.1582513","2.0794415","1.1180227","Yes"
"2.7080503","0.6931472","0.6931472","2.944439","2.8903718","4.5217886","2.944439","0.0","2.7080503","1.0986123","5.247024","0.0","0.0","0.0","0.26053113","0.0","0.0","2.6026897","0.6931472","0.65679437","Yes"
"1.0986123","1.0986123","0.0","1.9459101","1.609438","0.6931472","1.609438","1.0986123","0.0","1.0986123","3.6888795","0.0","0.0","0.6505876","0.5108257","0.6931472","1.3862944","2.9704144","1.609438","1.0986123","No"
"1.9459101","1.0986123","0.0","1.609438","2.3978953","2.7725887","0.6931472","1.3862944","1.9459101","1.0986123","3.465736","0.0","0.0","0.47957307","0.5108257","0.6931472","1.3862944","1.6422276","0.6931472","0.6061176","No"
"0.6931472","1.0986123","0.0","2.7080503","1.0986123","0.0","2.4849067","1.3862944","0.0","1.0986123","2.4849067","0.0","0.6931472","0.6931472","0.6931472","0.0","0.0","2.3025851","0.0","0.0","No"
"2.5649493","1.3862944","0.0","2.0794415","3.8501475","0.0","0.6931472","2.0794415","2.5649493","0.47849026","5.8406415","0.6931472","0.0","0.46536326","0.18924204","1.0986123","1.0986123","3.3410935","2.0794415","1.011601","Yes"
"2.7080503","0.6931472","0.0","3.1780539","3.583519","0.0","3.1354942","0.6931472","2.7080503","0.4054651","5.8348107","0.4054651","0.0","0.0","0.35667497","0.0","0.0","3.1869428","1.7917595","1.2729577","Yes"
"0.6931472","0.6931472","0.0","1.3862944","0.6931472","0.0","1.3862944","0.0","0.0","1.0986123","4.477337","0.0","0.0","0.0","0.0","0.0","0.0","4.2341065","0.0","0.0","No"
"3.6109178","0.6931472","0.0","1.7917595","3.9702919","5.645447","0.6931472","1.609438","2.0794415","0.54249907","7.957177","0.19105527","0.6931472","0.0","0.34054556","0.0","0.0","4.366631","4.634729","2.0863676","Yes"
"1.0986123","1.3862944","0.0","2.1972246","2.4849067","0.0","1.0986123","1.9459101","0.0","0.0","4.6728287","0.6931472","0.0","0.6690496","0.4519851","0.6931472","0.6931472","3.9608133","0.6931472","0.4054651","Yes"
"1.9459101","0.6931472","1.7917595","3.2580965","2.1972246","2.7725887","3.218876","0.6931472","1.9459101","1.0986123","3.0910425","0.0","0.0","0.0","0.4595323","0.0","0.0","1.2527629","0.6931472","0.6061176","No"
"1.9459101","1.0986123","0.0","2.5649493","2.5649493","0.6931472","0.6931472","2.4849067","1.9459101","0.49469623","5.159055","0.6931472","1.9459101","0.65314186","0.30010462","0.0","0.0","3.3019907","1.9459101","0.91629076","No"
"2.7725887","0.6931472","0.0","2.6390574","4.0073333","3.7376697","1.0986123","2.4849067","2.3978953","0.59042865","6.516193","0.42744398","1.7917595","0.0","0.21271905","0.0","0.0","3.7841897","1.3862944","0.7884574","No"
"1.7917595","0.6931472","0.0","2.3978953","3.6109178","1.0986123","0.6931472","2.3025851","0.0","0.48550782","5.768321","0.6931472","1.3862944","0.0","0.28768212","0.0","0.0","4.1431346","0.6931472","0.5877866","Yes"
"2.1972246","1.3862944","0.0","1.3862944","2.9957323","2.5649493","1.0986123","1.0986123","1.609438","0.5108257","4.836282","0.5108257","0.6931472","0.5596158","0.26236424","1.0986123","2.1972246","2.7245796","0.6931472","0.62860864","No"
"2.6390574","0.6931472","2.6390574","3.8286414","3.6888795","4.2904596","3.7612002","2.0794415","2.5649493","0.6061358","5.521461","0.6931472","0.0","0.0","0.2076394","0.0","0.0","2.9484794","2.3025851","1.0459847","No"
"2.3025851","1.0986123","0.0","2.3025851","3.4965076","0.0","0.6931472","2.1972246","2.3025851","0.25593334","5.8318825","0.6931472","1.0986123","0.47000363","0.23052363","1.0986123","1.3862944","3.6228583","2.4849067","1.3862944","No"
"1.9459101","1.0986123","0.0","2.3025851","3.3672957","0.0","0.6931472","2.1972246","1.9459101","0.0","4.9972124","0.6931472","0.6931472","0.5340825","0.28768212","1.0986123","1.3862944","3.191847","1.609438","0.91629076","No"
"2.7725887","1.3862944","0.0","2.3025851","3.4011974","2.7725887","0.6931472","2.1972246","2.4849067","0.47000363","6.261492","0.53062826","1.3862944","0.19415604","0.2513144","0.6931472","0.6931472","3.5322256","2.3978953","1.0055096","No"
"1.3862944","0.6931472","0.6931472","2.7080503","1.609438","0.0","2.6390574","0.6931472","1.0986123","0.5108257","3.2580965","0.28768212","0.6931472","0.0","0.4595323","0.0","0.0","1.9924302","0.6931472","0.5108456","No"
"1.3862944","1.0986123","1.3862944","1.609438","1.7917595","0.6931472","1.3862944","0.6931472","0.6931472","0.4054651","2.8903718","0.6931472","0.0","0.5108257","0.5108257","0.0","0.0","1.6739764","0.6931472","0.28765708","No"
"1.3862944","0.6931472","0.0","0.0","2.1972246","1.3862944","0.0","0.0","0.6931472","0.6931472","3.3322046","0.0","0.0","0.0","0.28768212","0.0","0.0","2.1594841","1.0986123","0.6931472","No"
"2.3025851","0.6931472","0.0","1.7917595","2.944439","0.0","1.0986123","1.3862944","2.1972246","0.4054651","7.1106963","0.6931472","0.0","0.0","0.4054651","0.0","0.0","4.9093814","1.3862944","0.6931472","Yes"
"1.9459101","0.6931472","1.7917595","1.7917595","2.944439","1.7917595","1.7917595","0.0","0.6931472","0.47000363","4.4886365","0.4054651","0.0","0.0","0.53062826","0.0","0.0","2.662588","0.6931472","0.4054651","No"
"2.8332133","1.0986123","0.0","2.3978953","3.7376697","2.3978953","1.0986123","2.3025851","2.7725887","0.12516314","5.5529594","0.0","0.0","0.4054651","0.31845373","0.0","0.0","2.7725887","1.0986123","0.62860864","Yes"
"1.7917595","1.0986123","1.7917595","2.7725887","2.0794415","2.3978953","2.3978953","1.9459101","1.609438","1.0986123","2.7080503","0.0","0.0","0.5596158","0.38299227","0.6931472","0.6931472","1.0296195","0.6931472","0.5877866","No"
"2.3978953","0.6931472","0.0","2.1972246","3.5263605","3.2580965","0.6931472","2.0794415","2.3978953","0.54361546","5.187386","0.6931472","1.0986123","0.0","0.20585205","0.0","0.0","2.85647","0.6931472","0.64185387","Yes"
