"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.7725887","0.6931472","0.0","2.944439","3.9702919","3.637586","1.3862944","2.7725887","2.7080503","0.5596158","5.605802","0.6931472","1.609438","0.0","0.22721687","0.0","0.0","2.8641038","2.6390574","1.120602","Yes"
"1.3862944","1.3862944","0.0","1.0986123","2.1972246","1.3862944","0.6931472","0.6931472","1.3862944","0.91629076","4.1108737","0.0","0.0","0.6931472","0.44183278","0.0","0.0","2.7725887","0.0","0.0","No"
"2.7725887","0.6931472","2.944439","3.1780539","3.5263605","2.0794415","2.944439","1.7917595","1.7917595","0.38946474","5.4380794","0.6931472","0.0","0.0","0.32277337","0.0","0.0","2.7124848","1.609438","1.2039628","Yes"
"1.0986123","1.3862944","0.0","1.9459101","1.7917595","0.6931472","1.0986123","1.609438","1.0986123","1.0986123","2.7080503","0.0","0.0","0.5877866","0.4054651","0.0","0.0","1.9459101","0.6931472","0.4054651","No"
"1.0986123","0.6931472","0.0","2.4849067","1.0986123","0.6931472","2.1972246","1.3862944","1.0986123","1.0986123","1.0986123","0.0","0.0","0.0","0.6061358","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.609438","1.0986123","0.0","2.1972246","3.4011974","1.609438","0.0","2.1972246","1.3862944","0.5108257","4.955827","0.6931472","0.0","0.47000363","0.5108257","0.0","0.0","3.5553482","1.9459101","1.011601","No"
"1.609438","1.0986123","0.0","2.0794415","2.9957323","1.609438","0.6931472","2.0794415","0.6931472","0.5108257","4.3694477","0.6931472","0.6931472","0.597837","0.36772478","0.6931472","0.6931472","2.957511","1.7917595","0.91629076","Yes"
"3.9512436","0.6931472","0.0","1.609438","4.276666","6.933423","0.6931472","1.3862944","3.871201","0.6205765","6.177944","0.6931472","0.0","0.0","0.2124196","0.0","0.0","2.2272696","1.3862944","0.79556847","No"
"2.7080503","0.6931472","0.0","2.7080503","3.8501475","0.0","1.7917595","2.3025851","2.3025851","0.5485659","6.300786","0.6931472","0.0","0.0","0.2513144","0.0","0.0","3.6450768","2.1972246","1.4552839","No"
"1.609438","0.6931472","0.0","1.609438","3.465736","0.0","1.609438","0.0","1.0986123","0.4054651","5.192957","0.6931472","0.0","0.0","0.28768212","0.0","0.0","3.7784915","1.609438","1.0986123","No"
