"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.7917595","1.0986123","0.0","2.9957323","2.944439","0.0","2.1972246","2.7725887","1.609438","0.5798185","4.4426513","0.0","2.0794415","0.4054651","0.3364722","0.0","0.0","2.7343674","1.3862944","0.7884574","Yes"
"2.3978953","1.3862944","0.0","2.6390574","3.7376697","2.0794415","0.6931472","2.5649493","2.3025851","0.49401847","5.659482","0.4054651","0.0","0.5423243","0.2513144","1.0986123","1.9459101","3.339322","1.9459101","0.8754688","Yes"
"2.3978953","0.6931472","0.0","1.609438","3.6635616","0.0","0.0","1.609438","2.3025851","0.32850403","5.6629605","0.6931472","0.0","0.0","0.29266962","0.0","0.0","3.349904","1.7917595","0.9555114","No"
"1.609438","1.609438","0.0","1.3862944","2.0794415","1.9459101","1.0986123","1.0986123","0.6931472","1.0986123","3.295837","0.0","0.0","0.683728","0.4054651","1.0986123","1.3862944","1.8718022","1.3862944","0.8109302","No"
"3.2580965","1.0986123","1.0986123","3.0445225","4.4188404","5.081404","1.7917595","2.944439","2.1972246","0.6323055","6.391917","0.6061358","1.7917595","0.5700871","0.18058391","1.0986123","2.1972246","3.1510253","1.3862944","0.7323679","Yes"
"1.7917595","0.6931472","1.3862944","2.6390574","1.9459101","2.3978953","2.3978953","1.3862944","0.0","1.0986123","2.1972246","0.0","0.0","0.0","0.47000363","0.0","0.0","0.47000363","0.6931472","0.5877866","No"
"2.6390574","0.6931472","0.0","2.6390574","4.1271343","0.0","1.609438","2.3025851","0.0","0.6323055","6.317165","0.28768212","1.3862944","0.0","0.16507979","0.0","0.0","3.7284698","1.609438","0.6931472","Yes"
"2.8903718","1.0986123","0.0","1.9459101","3.5553482","3.5553482","0.6931472","1.9459101","2.0794415","0.54361546","5.7807436","0.5753642","0.6931472","0.36772478","0.16008545","0.6931472","1.0986123","2.9161797","1.3862944","0.6931472","Yes"
"2.6390574","0.6931472","0.0","2.1972246","3.6109178","4.0775375","0.6931472","2.0794415","2.6390574","0.58314633","5.2574954","0.6931472","1.0986123","0.0","0.18392289","0.0","0.0","2.6661592","0.6931472","0.6539385","No"
"2.1972246","0.6931472","0.0","3.4339871","2.1972246","3.3672957","3.3672957","1.0986123","2.1972246","1.0986123","2.1972246","0.0","0.0","0.0","0.26236424","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.3862944","0.6931472","0.0","1.3862944","2.0794415","0.0","1.0986123","0.6931472","1.3862944","0.13353144","4.836282","0.13353144","0.6931472","0.0","0.44183278","0.0","0.0","3.6720724","1.3862944","0.9808417","No"
"2.1972246","1.0986123","0.0","1.0986123","2.9957323","0.0","0.6931472","0.6931472","2.1972246","0.35667497","4.189655","0.0","0.6931472","0.53551817","0.26236424","0.6931472","1.609438","2.0636933","0.6931472","0.62860864","No"
"1.9459101","0.6931472","0.6931472","1.7917595","2.0794415","2.7725887","1.3862944","1.3862944","0.0","1.0986123","2.3025851","0.0","0.0","0.0","0.34830666","0.0","0.0","0.4054651","0.6931472","0.6061176","No"
"2.0794415","0.6931472","1.0986123","2.3978953","2.1972246","3.0910425","2.0794415","1.3862944","0.0","1.0986123","2.3978953","0.0","0.0","0.0","0.3364722","0.0","0.0","0.35667497","0.6931472","0.6190161","No"
"1.9459101","1.0986123","0.0","2.3978953","3.2580965","0.0","1.0986123","2.3978953","1.9459101","0.5108257","4.5217886","0.0","1.3862944","0.4054651","0.28768212","0.0","0.0","2.6855774","0.6931472","0.6061176","Yes"
"1.9459101","1.0986123","0.0","1.0986123","2.8903718","0.0","0.0","1.0986123","1.9459101","0.095310204","4.5108595","0.6931472","0.6931472","0.4054651","0.4595323","0.6931472","0.6931472","2.6855774","1.0986123","0.7732052","Yes"
"1.0986123","0.6931472","0.0","2.0794415","1.7917595","0.0","1.609438","1.7917595","0.6931472","0.6061358","4.060443","0.0","1.3862944","0.0","0.5596158","0.0","0.0","3.2386785","0.6931472","0.4054651","Yes"
"3.3322046","1.0986123","0.0","3.0445225","4.1743875","5.123964","2.6390574","2.4849067","3.1354942","0.56618756","6.1025586","0.6931472","0.0","0.28768212","0.097638465","1.0986123","1.9459101","2.793208","2.5649493","0.95266116","Yes"
"1.0986123","1.609438","0.0","1.0986123","1.609438","0.6931472","0.6931472","0.6931472","0.6931472","1.0986123","2.6390574","0.0","0.0","0.65392643","0.5108257","0.6931472","0.6931472","1.8718022","1.0986123","0.6931472","Yes"
"1.7917595","0.6931472","0.0","2.1972246","1.9459101","0.0","2.1972246","0.0","0.0","0.11778303","4.6151204","0.0","0.0","0.0","0.4382549","0.0","0.0","2.9549103","0.6931472","0.3364722","No"
"2.6390574","0.6931472","0.0","4.3820267","3.1354942","0.0","4.3820267","0.0","2.3978953","0.11778303","4.983607","0.0","0.0","0.0","0.2584117","0.6931472","0.6931472","2.3978953","1.9459101","0.80236036","Yes"
"1.0986123","0.6931472","1.0986123","2.0794415","2.8332133","0.0","1.0986123","1.7917595","0.6931472","0.0","4.204693","0.6931472","0.6931472","0.0","0.5108257","0.0","0.0","3.48124","0.6931472","0.4054651","No"
"2.1972246","1.0986123","0.0","2.8332133","3.1354942","0.0","2.4849067","1.9459101","1.9459101","0.13353144","4.6151204","0.6931472","0.6931472","0.4895482","0.20875478","1.0986123","1.0986123","2.5156784","1.609438","0.86499745","Yes"
"2.0794415","1.3862944","1.0986123","1.609438","3.0910425","2.6390574","1.0986123","1.0986123","1.3862944","0.62860864","5.2257466","0.5596158","0.0","0.4595323","0.31237468","0.6931472","1.0986123","3.2302396","0.6931472","0.5390048","Yes"
"0.6931472","1.609438","0.0","3.6109178","1.0986123","0.0","3.6109178","0.0","0.6931472","1.0986123","1.7917595","0.0","0.0","0.6931472","0.6931472","0.0","0.0","1.609438","0.0","0.0","No"
"2.5649493","1.0986123","0.0","2.3025851","3.5263605","3.5553482","0.0","2.3025851","1.7917595","0.46430555","6.1180973","0.6931472","0.0","0.6339583","0.24946083","0.6931472","1.7917595","3.6265607","1.3862944","0.6931472","No"
"1.609438","0.6931472","0.0","2.8332133","1.9459101","1.9459101","2.7725887","1.3862944","1.3862944","0.6931472","2.7725887","0.0","1.0986123","0.0","0.6061358","0.0","0.0","1.178655","0.6931472","0.5596158","No"
"2.0794415","0.6931472","0.0","1.609438","2.8903718","1.7917595","0.6931472","1.609438","1.7917595","0.5108257","4.7004805","0.6931472","1.0986123","0.0","0.3313571","0.0","0.0","2.717529","1.0986123","0.82667226","Yes"
"1.7917595","0.6931472","1.0986123","2.4849067","1.9459101","2.3978953","2.1972246","1.609438","1.0986123","1.0986123","2.1972246","0.0","0.0","0.0","0.38299227","0.0","0.0","0.47000363","0.6931472","0.5877866","No"
"3.0445225","0.6931472","1.3862944","4.060443","3.6109178","5.17615","3.9702919","1.7917595","2.9957323","0.6390799","5.267858","0.4054651","0.6931472","0.0","0.25593334","0.0","0.0","2.2565413","0.6931472","0.6678294","Yes"
"3.0910425","1.0986123","1.0986123","2.3978953","3.871201","4.691348","1.3862944","2.1972246","2.7725887","0.65275913","6.7068624","0.28768212","0.6931472","0.21511139","0.23803213","0.0","0.0","3.6463199","1.0986123","0.6931472","Yes"
"1.7917595","0.6931472","1.7917595","2.3978953","1.9459101","1.609438","2.3025851","0.6931472","1.7917595","0.4054651","2.9957323","0.6931472","0.0","0.0","0.5877866","0.0","0.0","1.2809339","0.6931472","0.5877866","Yes"
"1.609438","1.3862944","0.0","1.609438","2.7080503","1.609438","0.6931472","1.3862944","1.0986123","0.6061358","4.317488","0.0","0.0","0.5753642","0.34830666","0.6931472","1.0986123","2.8903718","0.6931472","0.4054651","No"
"1.9459101","1.3862944","0.0","1.609438","2.3978953","2.7725887","0.6931472","1.3862944","1.9459101","1.0986123","3.465736","0.0","0.0","0.47957307","0.5108257","0.6931472","1.3862944","1.6422276","0.6931472","0.6061176","Yes"
"2.0794415","1.0986123","0.0","2.3025851","3.0445225","1.7917595","1.0986123","2.1972246","1.3862944","0.585727","5.2574954","0.0","1.609438","0.2513144","0.24512246","0.0","0.0","3.2580965","2.1972246","0.99853414","No"
"1.3862944","1.0986123","0.0","1.7917595","1.9459101","1.3862944","0.6931472","1.609438","1.3862944","1.0986123","2.944439","0.0","0.0","0.4054651","0.5108257","0.0","0.0","1.7917595","0.6931472","0.5108456","No"
