"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.0986123","1.0986123","0.0","1.3862944","2.0794415","0.6931472","0.6931472","1.0986123","0.6931472","1.0986123","3.5263605","0.0","0.0","0.68366843","0.47000363","0.6931472","0.6931472","2.8033605","0.6931472","0.4054651","Yes"
"1.609438","0.6931472","0.0","2.0794415","3.0910425","0.0","0.6931472","1.9459101","1.609438","0.28768212","4.574711","0.6931472","0.0","0.0","0.4595323","0.0","0.0","3.1570003","0.6931472","0.5596158","Yes"
"1.0986123","1.0986123","0.0","1.0986123","1.609438","0.6931472","0.0","1.0986123","1.0986123","1.0986123","3.2580965","0.0","0.0","0.6649763","0.6931472","0.0","0.0","2.5257287","0.6931472","0.4054651","Yes"
"0.6931472","0.6931472","0.0","1.3862944","0.6931472","0.0","1.0986123","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"0.6931472","0.6931472","0.0","1.7917595","0.6931472","0.0","1.7917595","0.0","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"2.1972246","0.6931472","0.0","2.0794415","2.1972246","3.3672957","1.7917595","1.0986123","2.1972246","1.0986123","2.1972246","0.0","0.0","0.0","0.29213643","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.9459101","0.6931472","0.0","2.1972246","2.0794415","2.3025851","2.1972246","0.0","1.9459101","0.3364722","3.7841897","0.6931472","0.0","0.0","0.3600028","0.0","0.0","1.89712","0.6931472","0.4054651","Yes"
"3.3322046","0.6931472","1.3862944","2.6390574","4.8121843","5.6489744","2.0794415","2.3025851","2.4849067","0.63168085","7.2406497","0.6931472","0.6931472","0.0","0.17469518","0.0","0.0","3.9368963","1.0986123","0.7114781","Yes"
"2.1972246","0.6931472","0.0","1.0986123","3.218876","0.0","1.0986123","0.6931472","1.609438","0.49643683","5.463832","0.6931472","0.0","0.0","0.31845373","0.0","0.0","3.3542805","0.6931472","0.62860864","Yes"
"2.0794415","0.6931472","0.0","1.609438","2.7725887","1.7917595","1.609438","0.0","2.0794415","0.22314355","4.5849676","0.6931472","0.0","0.0","0.31585297","0.6931472","0.6931472","2.6079667","1.609438","0.76216006","Yes"
