"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.9459101","1.3862944","0.0","2.7725887","3.637586","0.6931472","1.7917595","2.7080503","1.3862944","0.5108257","5.556828","0.6931472","1.0986123","0.49643683","0.26662868","0.6931472","0.6931472","3.749504","0.6931472","0.6061176","No"
"2.1972246","1.7917595","0.0","2.9957323","3.7841897","2.1972246","0.6931472","2.9957323","2.1972246","0.5996211","5.723585","0.22314355","0.0","0.5007753","0.26236424","0.6931472","0.6931472","3.6276686","1.0986123","0.7537718","No"
"1.3862944","1.0986123","0.0","2.3978953","2.7080503","0.0","0.0","2.3978953","1.3862944","0.0","4.65396","0.0","0.0","0.5389965","0.38299227","0.0","0.0","3.5361166","1.609438","0.9808417","No"
"0.6931472","0.6931472","0.0","2.0794415","0.6931472","0.0","1.7917595","1.0986123","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.0986123","1.7917595","0.0","1.7917595","2.5649493","0.6931472","0.0","1.7917595","1.0986123","1.0986123","3.7841897","0.0","0.0","0.65924567","0.5596158","0.0","0.0","3.068053","0.6931472","0.4054651","No"
"1.7917595","1.0986123","1.9459101","2.7725887","3.3672957","1.9459101","1.9459101","2.3025851","1.3862944","0.48550782","4.934474","0.6931472","0.0","0.44183278","0.3920421","0.0","0.0","3.303217","0.6931472","0.5877866","No"
"1.7917595","1.609438","0.0","2.5649493","3.0445225","1.9459101","0.0","2.5649493","1.3862944","0.4054651","4.4886365","0.6931472","0.0","0.5819216","0.3364722","0.6931472","0.6931472","2.8449094","0.6931472","0.5877866","No"
"1.609438","0.6931472","0.0","2.3978953","3.2580965","0.0","0.6931472","2.3025851","1.609438","0.4054651","4.9767337","0.6931472","0.0","0.0","0.4054651","0.0","0.0","3.5695326","1.609438","0.91629076","No"
"1.0986123","1.609438","0.0","1.7917595","2.6390574","0.6931472","0.0","1.7917595","0.6931472","1.0986123","4.1431346","0.0","0.0","0.64185387","0.5108257","0.6931472","0.6931472","3.4339871","1.609438","1.0986123","No"
"1.7917595","1.3862944","0.0","2.8903718","3.6109178","1.609438","1.0986123","2.8332133","1.3862944","0.5596158","5.68358","0.6931472","0.6931472","0.5260931","0.28768212","0.0","0.0","4.0535226","0.6931472","0.5877866","No"
