"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.0794415","0.6931472","0.0","2.1972246","3.0910425","2.3025851","1.0986123","1.9459101","2.0794415","0.6061358","5.3375382","0.6931472","1.7917595","0.0","0.4519851","0.0","0.0","3.3573947","1.0986123","0.6931472","Yes"
"1.7917595","1.3862944","0.0","1.609438","2.6390574","2.3978953","1.0986123","1.0986123","1.609438","0.8109302","3.713572","0.0","0.0","0.6523252","0.3364722","0.6931472","0.6931472","2.0541236","0.6931472","0.3364722","No"
"1.7917595","1.0986123","0.0","1.7917595","2.0794415","1.9459101","1.609438","0.6931472","1.7917595","1.0986123","3.8501475","0.0","0.0","0.5705449","0.53062826","0.6931472","0.6931472","2.2192035","1.0986123","0.6931472","Yes"
"2.4849067","1.0986123","0.0","2.0794415","3.0910425","3.583519","1.0986123","1.7917595","2.3025851","0.5877866","4.6821313","0.4054651","0.0","0.4382549","0.22918586","0.6931472","1.609438","2.2560651","1.0986123","0.64663196","Yes"
"2.3025851","1.0986123","0.0","1.7917595","2.6390574","3.6109178","1.0986123","1.3862944","2.3025851","0.7537718","4.0943446","0.0","0.0","0.26236424","0.23052363","0.0","0.0","1.8458267","0.6931472","0.5753767","No"
"2.8332133","0.6931472","0.0","3.0445225","4.0253515","0.0","2.3025851","2.7080503","2.7080503","0.4054651","6.1180973","0.6931472","1.3862944","0.0","0.18137413","0.0","0.0","3.3344343","1.9459101","0.72391886","Yes"
"2.3978953","1.0986123","0.0","1.9459101","2.944439","3.3322046","1.0986123","1.7917595","2.3978953","0.6061358","4.65396","0.5596158","0.0","0.38299227","0.24686006","0.6931472","1.0986123","2.3025851","0.6931472","0.5877866","Yes"
"2.0794415","0.6931472","0.0","1.9459101","2.8332133","2.3025851","1.7917595","0.6931472","1.3862944","0.7720703","7.286876","0.0036297645","0.0","0.0","0.17435338","0.0","0.0","5.131588","1.0986123","0.82667226","Yes"
"0.6931472","0.6931472","0.0","0.6931472","1.0986123","0.0","0.6931472","0.0","0.0","1.0986123","1.9459101","0.0","0.0","0.0","0.6931472","0.0","0.0","1.3862944","0.0","0.0","No"
"2.3025851","1.0986123","0.6931472","1.9459101","3.4965076","0.0","1.0986123","1.609438","2.3025851","0.11778303","5.1532917","0.0","0.0","0.42744398","0.30147538","0.6931472","0.6931472","2.944439","1.609438","0.74720913","Yes"
"1.9459101","1.3862944","0.0","1.7917595","2.3025851","2.7725887","1.0986123","1.3862944","1.7917595","0.7884574","3.465736","0.0","0.0","0.6161862","0.28768212","0.0","0.0","1.609438","0.6931472","0.5108456","No"
