"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.1972246","1.0986123","0.0","1.609438","3.1354942","1.609438","0.6931472","1.3862944","1.609438","0.56976813","5.613128","0.6931472","1.0986123","0.53551817","0.25593334","0.6931472","1.0986123","3.4696345","1.9459101","1.2163954","Yes"
"0.6931472","0.6931472","0.0","2.0794415","0.6931472","0.0","1.9459101","0.6931472","0.6931472","1.0986123","1.0986123","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"2.0794415","0.6931472","0.0","1.9459101","3.4339871","2.8903718","0.0","1.9459101","1.0986123","0.5596158","4.9767337","0.0","0.6931472","0.0","0.24512246","0.0","0.0","3.009917","1.0986123","0.6190161","Yes"
"1.0986123","0.6931472","0.0","1.0986123","1.609438","0.6931472","0.6931472","0.6931472","0.6931472","1.0986123","2.1972246","0.0","0.0","0.0","0.5596158","0.0","0.0","1.3862944","0.6931472","0.4054651","Yes"
"2.1972246","0.6931472","0.0","1.9459101","3.1354942","3.1354942","0.0","1.9459101","2.1972246","0.5389965","5.062595","0.0","1.0986123","0.0","0.29213643","0.0","0.0","2.957511","1.0986123","0.7537718","Yes"
"2.3978953","0.6931472","0.0","2.3025851","2.8332133","3.4011974","1.9459101","1.3862944","0.0","0.5753642","4.553877","0.6931472","0.6931472","0.0","0.22314355","0.0","0.0","2.1517622","0.6931472","0.5877866","Yes"
"2.8903718","1.0986123","0.0","2.1972246","3.4339871","4.744932","0.6931472","2.0794415","2.6390574","0.60329086","5.3033047","0.6931472","0.0","0.49643683","0.30932122","0.6931472","0.6931472","2.424282","1.609438","0.60075766","Yes"
"1.0986123","0.6931472","0.0","1.3862944","3.1354942","0.6931472","0.6931472","1.0986123","1.0986123","1.0986123","4.8598123","0.0","0.0","0.0","0.5596158","0.0","0.0","4.158883","1.7917595","1.2527629","Yes"
"1.9459101","1.0986123","0.0","1.3862944","2.1972246","2.7725887","0.0","1.3862944","1.9459101","0.6931472","3.5553482","0.0","0.0","0.597837","0.4054651","0.6931472","0.6931472","1.6739764","1.0986123","0.6061176","Yes"
"1.7917595","0.6931472","0.0","0.0","2.8332133","0.0","0.0","0.0","1.0986123","0.18924204","5.5947113","0.0","0.0","0.0","0.28768212","0.0","0.0","3.9589067","1.609438","1.0986123","Yes"
