"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.7917595","0.6931472","0.0","3.5553482","1.7917595","2.3978953","3.5553482","0.0","1.7917595","1.0986123","1.7917595","0.0","0.0","0.0","0.5108257","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"0.6931472","1.3862944","0.0","0.6931472","2.3025851","0.0","0.0","0.6931472","0.6931472","1.0986123","3.3322046","0.0","0.0","0.6931472","0.6931472","0.0","0.0","3.295837","0.0","0.0","No"
"1.3862944","1.609438","0.0","2.1972246","2.8903718","0.6931472","0.0","2.1972246","1.3862944","0.0","4.3307333","0.6931472","0.0","0.6751287","0.5108257","1.3862944","1.3862944","3.1780539","0.6931472","0.5108456","No"
"5.0039463","0.6931472","0.0","4.1108737","5.46806","0.0","3.7841897","4.0253515","3.8918202","0.5503783","9.116579","0.5705449","2.3025851","0.0","0.13785057","0.0","0.0","4.116397","3.5553482","1.7205857","No"
"2.1972246","0.6931472","0.0","2.8903718","3.8066626","2.944439","1.3862944","2.8903718","2.0794415","0.56639546","5.888878","0.5108257","1.0986123","0.0","0.3629055","0.0","0.0","3.7982943","0.6931472","0.62860864","Yes"
"1.3862944","1.0986123","0.0","1.3862944","1.9459101","1.3862944","0.0","1.3862944","1.3862944","1.0986123","2.8903718","0.0","0.0","0.6751287","0.42744398","0.0","0.0","1.734601","0.6931472","0.28765708","Yes"
"1.609438","0.6931472","0.6931472","1.0986123","2.9957323","0.0","0.6931472","0.6931472","1.0986123","0.0","4.624973","0.6931472","0.0","0.0","0.4054651","0.0","0.0","3.2088256","0.6931472","0.5596158","Yes"
"1.7917595","1.0986123","0.0","2.3978953","2.5649493","2.3978953","1.609438","2.1972246","1.7917595","1.0986123","4.1431346","0.0","0.0","0.64185387","0.3364722","0.6931472","1.0986123","2.5176964","0.6931472","0.47000363","Yes"
"2.0794415","0.6931472","0.0","2.8332133","2.5649493","0.0","2.4849067","1.9459101","2.0794415","0.4054651","4.94876","0.6931472","1.3862944","0.0","0.28256693","0.0","0.0","2.9740708","1.7917595","1.232152","Yes"
"1.7917595","1.609438","0.0","3.8066626","1.9459101","0.0","3.7841897","0.6931472","1.7917595","0.5108257","3.713572","0.6931472","0.0","0.56798404","0.42744398","0.0","0.0","2.00148","0.6931472","0.5877866","Yes"
"2.3978953","1.3862944","0.0","2.8332133","3.465736","3.4011974","0.0","2.8332133","2.3025851","0.54361546","5.652489","0.6931472","0.0","0.62038785","0.23889194","1.3862944","1.3862944","3.3322046","1.7917595","0.91629076","No"
"2.5649493","0.6931472","0.0","1.9459101","3.6888795","3.8501475","0.6931472","1.7917595","1.3862944","0.5877866","6.2363696","0.6931472","1.0986123","0.0","0.20479444","0.0","0.0","3.7396517","2.4849067","1.5040774","Yes"
"3.1354942","0.6931472","0.0","2.6390574","4.26268","5.4380794","2.6390574","0.0","3.0910425","0.681171","6.5250297","0.6931472","0.0","0.0","0.1592398","0.0","0.0","3.4295788","2.1972246","1.2909942","Yes"
"1.7917595","1.0986123","0.0","1.9459101","2.6390574","2.3978953","0.0","1.9459101","1.7917595","1.0986123","3.9512436","0.0","0.0","0.5389965","0.37156358","0.0","0.0","2.3223877","0.6931472","0.5877866","Yes"
"0.0","0.6931472","0.0","1.7917595","0.0","0.0","1.7917595","0.0","0.0","1.0986123","3.9512436","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Yes"
"1.0986123","0.6931472","0.0","0.6931472","2.1972246","0.6931472","0.6931472","0.0","1.0986123","1.0986123","4.3307333","0.0","0.0","0.0","0.4054651","0.0","0.0","3.624341","2.3025851","1.704748","Yes"
"2.8903718","0.6931472","0.0","2.4849067","3.871201","3.7612002","1.0986123","2.3978953","1.9459101","0.5314449","6.535241","0.6931472","1.0986123","0.0","0.31093895","0.0","0.0","3.6874077","2.5649493","1.3256682","Yes"
"1.609438","1.0986123","0.0","2.3978953","3.0445225","1.9459101","1.609438","2.1972246","1.609438","1.0986123","4.882802","0.0","0.0","0.6580559","0.34830666","0.6931472","0.6931472","3.488903","0.6931472","0.4054651","Yes"
"2.3025851","1.0986123","0.0","2.4849067","3.5553482","3.5553482","0.6931472","2.3978953","1.9459101","0.5596158","5.480639","0.6931472","0.0","0.4054651","0.28768212","0.0","0.0","3.275046","1.9459101","0.8937996","Yes"
"3.583519","0.6931472","0.0","3.871201","3.583519","6.3902407","3.871201","3.583519","3.583519","1.0986123","3.583519","0.0","0.0","0.0","0.0779615","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.609438","0.6931472","0.0","2.3978953","3.218876","0.0","0.6931472","2.3025851","1.609438","0.15415065","5.187386","0.6931472","0.6931472","0.0","0.4054651","0.0","0.0","3.7841897","1.0986123","0.6931472","Yes"
"1.9459101","1.0986123","0.0","1.9459101","2.3025851","2.6390574","1.609438","1.609438","1.7917595","0.5877866","3.3672957","0.6931472","0.0","0.64185387","0.3364722","0.0","0.0","1.5040774","0.6931472","0.4054651","Yes"
"3.8286414","0.6931472","0.0","3.3322046","4.727388","6.5944133","1.3862944","3.218876","3.583519","0.6080123","6.7393365","0.6931472","1.9459101","0.0","0.19051832","0.0","0.0","2.9183712","1.609438","0.81832504","Yes"
"2.1972246","1.0986123","0.0","2.1972246","3.583519","2.5649493","0.0","2.1972246","1.7917595","0.4054651","5.572154","0.6931472","0.0","0.46262357","0.31845373","0.0","0.0","3.48124","1.9459101","1.0986123","Yes"
"1.3862944","1.609438","0.0","2.3025851","3.0910425","1.3862944","0.0","2.3025851","1.0986123","0.91629076","4.787492","0.6931472","0.0","0.6751287","0.5108257","1.0986123","1.609438","3.6720724","1.0986123","0.6931472","No"
"1.609438","0.6931472","0.0","0.0","2.5649493","1.9459101","0.0","0.0","1.609438","1.0986123","3.9318256","0.0","0.0","0.0","0.4054651","0.0","0.0","2.5257287","1.0986123","0.6931472","Yes"
"2.9957323","0.6931472","0.0","2.4849067","3.8501475","0.0","0.6931472","2.3978953","2.9957323","0.53062826","5.4293456","0.1823216","1.0986123","0.0","0.17645642","0.0","0.0","2.4582384","1.609438","0.8397552","Yes"
"1.9459101","0.6931472","0.0","2.1972246","3.4965076","0.0","0.0","2.1972246","1.609438","0.3364722","5.081404","0.6931472","0.6931472","0.0","0.34830666","0.0","0.0","3.2708356","1.0986123","0.8472836","Yes"
"3.4011974","0.6931472","3.713572","4.189655","3.7841897","5.8021183","4.060443","2.4849067","3.4011974","0.6512085","5.765191","0.64185387","1.9459101","0.0","0.16492979","0.0","0.0","2.362804","1.609438","0.80710065","Yes"
"4.553877","0.6931472","0.0","1.7917595","4.8441873","6.025866","0.6931472","1.609438","2.3978953","0.58919764","9.283684","0.24116205","0.6931472","0.0","0.29170623","0.0","0.0","4.7372246","4.564348","2.4460444","No"
"1.7917595","1.0986123","0.0","2.3978953","3.1354942","2.3978953","1.609438","2.1972246","1.7917595","1.0986123","5.0369525","0.0","0.0","0.64185387","0.3364722","0.6931472","0.6931472","3.421","0.6931472","0.47000363","Yes"
"1.9459101","1.609438","0.0","1.609438","3.9512436","2.7725887","0.0","1.609438","1.3862944","0.7884574","5.7203116","0.6931472","0.0","0.64985037","0.31237468","1.0986123","1.609438","3.915351","0.6931472","0.6061176","No"
"1.7917595","1.0986123","0.0","2.8903718","3.5263605","0.0","1.609438","2.7725887","1.7917595","0.22314355","5.6801724","0.6931472","0.0","0.64185387","0.38299227","0.6931472","1.0986123","4.060443","0.6931472","0.47000363","Yes"
"2.3978953","1.3862944","0.0","3.1354942","3.0445225","1.3862944","3.0445225","1.0986123","2.3978953","0.0","4.454347","0.6931472","0.0","0.5753642","0.3220835","0.6931472","1.609438","2.1282318","0.6931472","0.47000363","Yes"
"1.609438","1.0986123","0.0","3.5263605","3.2580965","0.0","3.0910425","2.6390574","1.609438","0.5108257","5.370638","0.6931472","0.0","0.6109091","0.4054651","0.6931472","0.6931472","3.9702919","0.6931472","0.5596158","Yes"
"0.6931472","1.609438","0.0","3.295837","1.0986123","0.0","3.2580965","0.6931472","0.6931472","1.0986123","1.7917595","0.0","0.0","0.6931472","0.6931472","0.0","0.0","1.609438","0.0","0.0","Yes"
"1.9459101","1.0986123","0.0","2.0794415","3.5263605","0.0","0.0","2.0794415","1.7917595","0.3364722","5.6347895","0.6931472","0.0","0.5108257","0.37729427","0.6931472","0.6931472","3.832258","2.3025851","1.2992921","Yes"
"1.7917595","0.6931472","0.0","1.609438","1.7917595","2.3978953","1.0986123","1.0986123","1.7917595","1.0986123","1.7917595","0.0","0.0","0.0","0.4054651","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.609438","1.0986123","0.0","2.1972246","2.5649493","1.9459101","1.609438","1.9459101","1.609438","1.0986123","3.7612002","0.0","0.0","0.6580559","0.34830666","0.6931472","0.6931472","2.3513753","0.6931472","0.4054651","Yes"
"1.0986123","1.0986123","0.0","2.3978953","2.8903718","0.6931472","1.9459101","1.7917595","1.0986123","1.0986123","4.477337","0.0","0.0","0.6632942","0.6931472","0.6931472","0.6931472","3.7727609","0.6931472","0.4054651","Yes"
"2.944439","1.3862944","0.6931472","2.6390574","4.158883","5.0106354","1.0986123","2.4849067","1.9459101","0.70290345","6.0354815","0.36772478","0.6931472","0.47000363","0.29135177","0.6931472","1.0986123","3.1208954","1.7917595","0.74720913","Yes"
"2.944439","0.6931472","0.0","1.3862944","3.637586","4.89784","1.0986123","1.3862944","2.944439","0.6325226","5.7137327","0.0","0.6931472","0.0","0.28768212","0.0","0.0","2.8134108","1.609438","0.87083304","Yes"
"1.7917595","1.0986123","0.0","2.3025851","3.3322046","0.0","1.609438","2.0794415","1.7917595","0.2719337","5.198497","0.6931472","0.6931472","0.64185387","0.3600028","0.6931472","0.6931472","3.5610461","1.0986123","0.5877866","Yes"
"1.3862944","1.609438","0.0","2.1972246","3.1354942","1.3862944","0.0","2.1972246","1.0986123","0.91629076","4.828314","0.6931472","0.0","0.6751287","0.5108257","1.3862944","1.609438","3.6635616","1.0986123","0.6931472","No"
"1.609438","0.6931472","0.0","0.6931472","2.0794415","0.0","0.6931472","0.0","1.609438","0.28768212","3.1780539","0.6931472","0.0","0.0","0.48550782","0.0","0.0","1.704748","0.6931472","0.5596158","Yes"
"1.9459101","1.3862944","0.0","2.1972246","2.944439","2.7725887","0.0","2.1972246","1.7917595","0.6931472","5.081404","0.0","0.0","0.6457449","0.4054651","0.0","0.0","3.2771447","1.0986123","0.6931472","No"
"2.4849067","0.6931472","1.3862944","2.5649493","2.7725887","3.4011974","2.3025851","1.609438","2.4849067","0.5738004","4.2341065","0.6931472","0.6931472","0.0","0.22054274","0.0","0.0","1.7609879","0.6931472","0.64663196","Yes"
"2.944439","1.3862944","0.0","2.6390574","4.394449","4.7706847","0.0","2.6390574","2.8332133","0.6572152","6.2822666","0.6931472","0.0","0.52187544","0.26236424","0.6931472","0.6931472","3.37112","1.609438","0.74720913","Yes"
"1.609438","0.6931472","0.0","1.3862944","2.7080503","0.0","0.6931472","1.0986123","1.609438","0.4054651","4.5325994","0.6931472","0.6931472","0.0","0.3364722","0.0","0.0","3.1135154","1.3862944","0.8109302","Yes"
"0.6931472","0.6931472","0.0","1.3862944","0.6931472","0.0","1.0986123","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.7917595","1.0986123","0.0","2.3978953","3.1354942","2.3978953","1.609438","2.1972246","1.7917595","1.0986123","5.0369525","0.0","0.0","0.64185387","0.3364722","0.6931472","0.6931472","3.421","0.6931472","0.47000363","Yes"
"1.7917595","1.0986123","0.0","2.4849067","3.3322046","2.1972246","0.0","2.4849067","1.7917595","0.5596158","5.043425","0.6931472","0.6931472","0.4924765","0.36464316","0.0","0.0","3.4011974","0.6931472","0.5877866","Yes"
"1.7917595","1.0986123","0.0","2.3978953","3.1354942","2.3978953","1.609438","2.1972246","1.7917595","1.0986123","4.94876","0.0","0.0","0.64185387","0.3364722","1.0986123","1.0986123","3.3322046","0.6931472","0.47000363","Yes"
"2.0794415","1.0986123","0.0","2.7725887","3.465736","2.3025851","1.609438","2.6390574","1.7917595","0.5108257","5.0106354","0.5596158","1.0986123","0.61180156","0.28256693","0.6931472","0.6931472","3.0308235","0.6931472","0.5390048","Yes"
"3.6888795","0.6931472","0.0","1.609438","4.2341065","6.590301","1.0986123","1.0986123","3.6635616","0.67455435","6.2878585","0.0","0.0","0.0","0.14912553","0.0","0.0","2.613082","1.3862944","0.74317473","No"
"1.7917595","1.0986123","0.0","2.3978953","2.9957323","2.3978953","1.609438","2.1972246","1.7917595","1.0986123","4.4426513","0.0","0.0","0.64185387","0.3364722","0.6931472","0.6931472","2.821379","0.6931472","0.47000363","Yes"
"1.609438","1.609438","0.0","2.6390574","3.8286414","1.0986123","0.6931472","2.6390574","1.3862944","0.6505876","5.886104","0.6931472","1.609438","0.66647893","0.4054651","1.3862944","1.9459101","4.474492","0.6931472","0.5596158","No"
"1.7917595","1.609438","0.0","1.9459101","3.4965076","1.609438","0.0","1.9459101","1.3862944","0.6151857","6.4661446","0.5877866","0.0","0.66647893","0.4054651","1.3862944","1.3862944","4.8473315","3.1354942","1.7578579","No"
"1.609438","0.6931472","0.0","3.8501475","1.609438","1.9459101","3.8501475","0.0","1.609438","1.0986123","1.609438","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.9459101","0.6931472","0.0","1.609438","3.4965076","0.0","0.6931472","1.3862944","1.9459101","0.3364722","5.278115","0.6931472","0.6931472","0.0","0.4054651","0.0","0.0","3.460514","1.3862944","0.7732052","Yes"
