"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.3978953","1.3862944","0.0","2.6390574","3.7612002","2.0794415","0.6931472","2.5649493","2.3025851","0.49401847","5.638355","0.4054651","0.0","0.5423243","0.2513144","1.3862944","1.609438","3.3178158","1.9459101","0.8754688","Yes"
"2.3978953","0.6931472","0.6931472","1.609438","3.0910425","0.0","0.6931472","1.3862944","0.6931472","0.4818381","6.1696105","0.6931472","0.6931472","0.0","0.4054651","0.0","0.0","3.835142","1.0986123","0.6931472","Yes"
"2.8903718","1.0986123","0.0","2.4849067","3.7612002","0.0","1.0986123","2.3978953","2.7725887","0.4462871","5.976351","0.28768212","0.0","0.46134558","0.30228084","0.6931472","1.7917595","3.1329334","1.0986123","0.63254756","Yes"
"1.7917595","1.0986123","1.7917595","2.8903718","2.0794415","2.3978953","2.5649493","1.9459101","1.609438","1.0986123","2.7080503","0.0","0.0","0.5596158","0.38299227","0.6931472","0.6931472","1.0296195","0.6931472","0.5877866","No"
"1.609438","0.6931472","0.0","3.1780539","1.609438","1.9459101","3.1354942","0.6931472","1.609438","1.0986123","1.609438","0.0","0.0","0.0","0.4054651","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"2.7080503","0.6931472","1.9459101","2.8332133","2.9957323","4.3820267","2.7725887","0.6931472","2.4849067","0.5441116","4.89784","0.6931472","0.0","0.0","0.5798185","0.0","0.0","2.2129729","1.3862944","0.6931472","Yes"
"2.5649493","0.6931472","0.0","1.3862944","2.5649493","4.204693","1.3862944","0.0","2.5649493","1.0986123","2.5649493","0.0","0.0","0.0","0.4595323","0.0","0.0","0.0","0.6931472","0.6931472","No"
"2.7080503","0.6931472","0.0","1.0986123","3.2580965","1.3862944","0.6931472","0.6931472","2.6390574","0.4716049","5.4722705","0.0","0.0","0.0","0.33986783","0.0","0.0","2.8033605","0.6931472","0.65679437","No"
"2.7080503","0.6931472","0.0","3.1354942","3.4011974","4.2195077","2.3025851","3.1354942","2.5649493","0.64050347","5.2983174","0.28768212","2.5649493","0.0","0.33921573","0.0","0.0","2.5920513","0.6931472","0.6190161","Yes"
"1.0986123","0.6931472","0.0","1.0986123","1.3862944","0.6931472","0.0","1.0986123","1.0986123","1.0986123","2.0794415","0.0","0.0","0.0","0.5596158","0.0","0.0","1.2527629","0.6931472","0.4054651","No"
"2.944439","0.6931472","0.0","2.5649493","3.8066626","0.0","2.1972246","1.609438","1.609438","0.5180394","6.889591","0.3794896","0.6931472","0.0","0.21757253","0.0","0.0","3.9848604","1.609438","0.8472836","Yes"
"2.7725887","1.0986123","1.0986123","1.609438","3.4339871","3.0910425","1.3862944","0.6931472","2.3025851","0.5337745","6.0844994","0.48550782","0.0","0.43078294","0.28410426","0.6931472","1.609438","3.355735","2.0794415","0.81832504","Yes"
"1.9459101","0.6931472","0.0","2.3025851","3.4011974","0.0","1.0986123","2.0794415","0.0","0.37156358","5.9814143","0.5108257","1.7917595","0.0","0.39147884","0.0","0.0","4.1562753","0.6931472","0.5108456","Yes"
"2.1972246","1.0986123","0.0","1.3862944","2.7725887","0.0","0.6931472","1.0986123","0.0","0.4519851","5.0689044","0.6931472","0.0","0.4462871","0.35417178","0.6931472","1.3862944","2.9378383","0.6931472","0.62860864","No"
"2.8332133","1.0986123","0.6931472","3.1354942","3.988984","0.0","1.0986123","3.0910425","2.7080503","0.38299227","6.359574","0.6931472","0.6931472","0.46661952","0.20802996","0.6931472","1.7917595","3.5800407","1.9459101","0.8109302","No"
"2.4849067","0.6931472","0.0","2.944439","2.4849067","4.0253515","1.9459101","2.5649493","2.4849067","1.0986123","2.4849067","0.0","0.0","0.0","0.23399356","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"2.8903718","1.0986123","0.0","2.5649493","4.0253515","2.5649493","1.3862944","2.3978953","2.6390574","0.48550782","6.011267","0.6931472","0.0","0.35667497","0.14740525","1.0986123","1.609438","3.1657233","2.0794415","1.1180227","Yes"
