"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.3862944","0.6931472","0.0","0.6931472","3.0910425","0.0","0.0","0.6931472","1.0986123","0.0","4.317488","0.6931472","0.0","0.0","0.44183278","0.0","0.0","3.191847","1.0986123","0.8472836","No"
"1.3862944","0.6931472","0.0","1.609438","2.944439","0.0","1.0986123","1.3862944","1.0986123","0.0","4.204693","0.6931472","0.0","0.0","0.44183278","0.0","0.0","3.075775","1.3862944","0.9808417","No"
"3.1780539","0.6931472","0.0","2.0794415","3.4965076","5.214936","2.0794415","0.0","3.1354942","0.6370577","5.327876","0.6931472","0.0","0.0","0.34060448","0.0","0.0","2.1375053","1.9459101","0.7765229","Yes"
"2.6390574","1.0986123","0.0","2.7080503","4.2904596","3.5553482","1.0986123","2.7080503","2.3025851","0.47260445","6.0402546","0.62860864","1.0986123","0.5465437","0.21542148","0.0","0.0","3.4536438","1.7917595","1.1727297","Yes"
"1.609438","0.6931472","0.0","1.3862944","2.9957323","0.0","0.6931472","1.0986123","1.609438","0.0","4.5849676","0.6931472","0.0","0.0","0.3629055","0.0","0.0","3.1780539","0.6931472","0.5596158","Yes"
"1.0986123","0.6931472","0.0","1.609438","2.1972246","0.0","1.0986123","1.0986123","1.0986123","0.0","3.218876","0.6931472","0.0","0.0","0.48550782","0.0","0.0","2.442347","0.6931472","0.4054651","No"
"2.4849067","1.0986123","0.0","3.0910425","3.713572","0.0","0.6931472","3.0910425","2.1972246","0.4382549","5.3471074","0.6931472","1.0986123","0.66647893","0.1600365","0.0","0.0","2.9251146","1.7917595","1.0678438","No"
"1.7917595","1.609438","0.0","2.0794415","3.3672957","0.0","0.0","2.0794415","1.7917595","0.5108257","5.056246","0.6931472","0.0","0.6684546","0.42744398","1.0986123","1.0986123","3.421","0.6931472","0.5877866","Yes"
"0.6931472","0.6931472","0.0","1.9459101","0.6931472","0.0","1.7917595","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"2.0794415","0.6931472","0.0","2.0794415","3.4339871","2.4849067","1.3862944","1.9459101","1.7917595","0.5108257","5.389072","0.6931472","0.0","0.0","0.1823216","0.0","0.0","3.4293683","2.0794415","1.1451459","Yes"
