"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.7080503","1.0986123","0.0","2.4849067","3.9702919","3.7841897","0.0","2.4849067","2.5649493","0.67045575","6.1484685","0.15415065","0.6931472","0.4054651","0.24445333","1.0986123","1.3862944","3.48124","2.5649493","1.1676096","Yes"
"1.3862944","1.3862944","0.0","2.0794415","1.9459101","1.3862944","1.609438","1.609438","1.3862944","1.0986123","2.8332133","0.0","0.0","0.67916095","0.42744398","0.6931472","0.6931472","1.6739764","0.6931472","0.28765708","No"
"3.2580965","0.6931472","0.0","2.0794415","4.3694477","5.273","1.0986123","1.7917595","2.8903718","0.6306268","6.274762","0.5465437","1.3862944","0.0","0.23262227","0.0","0.0","3.0330281","1.3862944","0.7129498","No"
"2.944439","1.3862944","0.0","2.3978953","4.1431346","5.0106354","0.0","2.3978953","1.9459101","0.70290345","6.0354815","0.36772478","0.6931472","0.47000363","0.29135177","0.6931472","1.0986123","3.1208954","1.7917595","0.74720913","No"
"2.8332133","1.0986123","0.0","1.3862944","3.218876","4.6728287","0.6931472","1.0986123","2.4849067","0.28768212","5.0238805","0.6931472","0.6931472","0.47328776","0.4054651","0.6931472","1.9459101","2.2246234","1.0986123","0.72391886","No"
"2.4849067","1.0986123","0.0","2.0794415","3.6888795","2.0794415","0.6931472","1.9459101","2.3025851","0.5108257","5.5053315","0.0","0.6931472","0.5479651","0.28768212","0.0","0.0","3.0910425","1.7917595","1.0678438","Yes"
"2.1972246","1.0986123","0.0","2.7080503","3.7841897","2.1972246","1.609438","2.5649493","2.1972246","0.48770326","5.9322453","0.6931472","0.6931472","0.6061358","0.23556606","0.6931472","1.0986123","3.8367605","1.7917595","1.0560527","No"
"1.3862944","1.0986123","0.0","1.7917595","1.9459101","1.3862944","1.609438","1.3862944","1.3862944","1.0986123","2.8903718","0.0","0.0","0.6768867","0.42744398","0.0","0.0","1.734601","0.6931472","0.28765708","No"
"1.609438","0.6931472","0.0","1.609438","2.8903718","0.0","0.6931472","1.3862944","1.609438","0.28768212","4.7957907","0.5596158","0.6931472","0.0","0.4595323","0.0","0.0","3.3672957","1.609438","0.91629076","No"
"1.3862944","1.0986123","0.0","1.0986123","1.9459101","1.3862944","0.0","1.0986123","0.6931472","1.0986123","2.5649493","0.0","0.0","0.5389965","0.5108257","0.6931472","1.0986123","1.3862944","0.6931472","0.5108456","No"
"2.1972246","1.0986123","0.0","2.944439","3.7376697","0.0","1.7917595","2.7725887","2.1972246","0.49643683","5.389072","0.6931472","0.6931472","0.6061358","0.24783616","0.6931472","0.6931472","3.2865345","0.6931472","0.5596158","Yes"
"2.5649493","0.6931472","0.0","3.0910425","3.583519","4.204693","1.9459101","2.7725887","2.3025851","1.0986123","5.8230457","0.0","0.0","0.0","0.2588616","0.0","0.0","3.3351762","2.0794415","1.0986123","No"
"2.6390574","1.0986123","0.6931472","1.7917595","2.944439","4.0775375","0.6931472","1.609438","2.6390574","0.5108257","4.644391","0.6931472","0.6931472","0.4906229","0.3794896","0.0","0.0","2.0600235","1.609438","0.90077096","No"
"1.9459101","1.3862944","0.0","1.0986123","2.9957323","2.7725887","1.0986123","0.0","1.609438","0.751416","5.220356","0.0","0.0","0.59470713","0.4054651","0.6931472","0.6931472","3.3956263","2.7080503","1.343726","No"
"1.609438","1.0986123","0.0","1.609438","2.944439","0.0","0.6931472","1.3862944","1.0986123","0.44183278","4.762174","0.28768212","0.0","0.4519851","0.37156358","0.0","0.0","3.3410935","1.9459101","1.0986123","Yes"
