"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1.609438","1.0986123","0.0","1.9459101","2.1972246","1.9459101","1.0986123","1.7917595","1.609438","1.0986123","3.295837","0.0","0.0","0.64003736","0.4054651","0.0","0.0","1.8718022","0.6931472","0.5596158","No"
"1.9459101","1.3862944","0.0","3.0910425","3.5263605","2.7725887","0.6931472","3.0910425","1.0986123","1.0986123","5.17615","0.0","0.0","0.5877866","0.4054651","1.0986123","1.0986123","3.3787246","0.6931472","0.5108456","No"
"1.0986123","1.3862944","0.0","1.3862944","2.0794415","0.6931472","0.0","1.3862944","0.6931472","1.0986123","3.218876","0.0","0.0","0.6061358","0.5108257","0.6931472","0.6931472","2.4849067","0.6931472","0.4054651","No"
"3.295837","0.6931472","0.6931472","2.3978953","3.871201","0.0","1.7917595","1.7917595","3.218876","0.07696108","5.46806","0.6931472","0.6931472","0.0","0.22971533","0.0","0.0","2.201489","1.0986123","0.6931472","No"
"1.609438","1.3862944","0.0","1.609438","2.9957323","1.9459101","0.6931472","1.609438","1.3862944","1.0986123","4.1431346","0.0","0.0","0.6359887","0.31845373","0.6931472","0.6931472","2.74084","0.6931472","0.4054651","No"
"2.1972246","1.3862944","0.0","1.9459101","2.6390574","2.7080503","1.0986123","1.9459101","2.1972246","0.5108257","4.26268","0.6931472","0.0","0.6466272","0.30010462","0.6931472","0.6931472","2.125251","0.6931472","0.62860864","No"
"2.6390574","1.0986123","0.0","2.944439","4.727388","4.3438053","1.3862944","2.8903718","0.6931472","0.62860864","6.908755","0.6931472","0.6931472","0.3364722","0.24116205","0.6931472","0.6931472","4.340804","2.3978953","1.8295047","No"
"2.6390574","0.6931472","0.0","4.204693","2.6390574","4.3694477","4.204693","0.6931472","2.6390574","1.0986123","2.6390574","0.0","0.0","0.0","0.3142491","0.0","0.0","0.0","0.6931472","0.6931472","Yes"
"1.0986123","0.6931472","0.0","1.609438","1.3862944","0.0","1.0986123","1.0986123","1.0986123","0.0","2.5649493","0.6931472","0.6931472","0.0","0.5596158","0.0","0.0","1.704748","0.6931472","0.4054651","No"
"1.9459101","1.3862944","0.0","2.6390574","2.944439","2.6390574","0.6931472","2.6390574","1.609438","0.5877866","4.3438053","0.6931472","0.0","0.5877866","0.28768212","0.6931472","0.6931472","2.5257287","0.6931472","0.5108456","No"
