"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2.8332133","1.3862944","0.0","1.9459101","3.9702919","4.727388","0.6931472","1.7917595","2.4849067","0.5753642","6.234411","0.6931472","0.0","0.5538851","0.29598093","1.0986123","2.1972246","3.453948","0.6931472","0.59470713","No"
"2.5649493","1.0986123","2.7080503","3.1780539","3.1780539","0.0","2.8903718","2.1972246","2.5649493","0.31015494","5.0106354","0.6931472","1.0986123","0.54910785","0.19782574","0.6931472","2.0794415","2.5055258","1.7917595","0.9490677","No"
"3.988984","0.6931472","0.0","3.5553482","5.0172796","7.2174435","3.1354942","2.7725887","3.912023","0.6939482","7.6449194","0.31845373","0.0","0.0","0.11778303","0.0","0.0","3.6625936","3.912023","1.685695","Yes"
"3.912023","1.3862944","1.0986123","3.7841897","4.6151204","7.070724","3.5553482","2.5649493","3.8501475","0.6931472","6.612041","0.0","0.6931472","0.47426805","0.11531081","1.3862944","3.0910425","2.717529","2.8332133","1.0498071","No"
"0.6931472","0.6931472","0.0","1.7917595","0.6931472","0.0","1.7917595","0.6931472","0.6931472","1.0986123","0.6931472","0.0","0.0","0.0","0.6931472","0.0","0.0","0.0","0.6931472","0.6931472","No"
"2.3025851","0.6931472","0.0","2.1972246","2.3025851","3.6109178","2.0794415","0.6931472","2.3025851","1.0986123","2.3025851","0.0","0.0","0.0","0.28768212","0.0","0.0","0.0","0.6931472","0.6931472","No"
"2.0794415","1.609438","0.0","2.944439","3.3672957","2.7725887","1.609438","2.7080503","1.9459101","0.4054651","5.117994","0.6931472","0.0","0.679603","0.27329338","1.609438","2.0794415","3.1600354","0.6931472","0.6190161","Yes"
"2.1972246","1.3862944","0.0","1.609438","3.1354942","3.3672957","0.6931472","1.3862944","2.0794415","1.0986123","5.1817837","0.0","0.0","0.6208265","0.31845373","1.0986123","1.609438","3.0967083","0.6931472","0.5596158","No"
"2.1972246","0.6931472","0.0","0.6931472","2.1972246","3.3672957","0.0","0.6931472","2.1972246","1.0986123","2.1972246","0.0","0.0","0.0","0.24783616","0.0","0.0","0.0","0.6931472","0.6931472","No"
"1.7917595","1.0986123","0.0","1.3862944","2.8332133","1.609438","0.6931472","1.0986123","1.7917595","0.0","4.8675346","0.6931472","0.0","0.6161862","0.3364722","0.0","0.0","3.234749","1.7917595","0.9555114","No"
