PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,HeuBug
50,1,2,4,2,FALSE
86,4,0,7,1,FALSE
86,7,0,5,2,FALSE
50,2,0,1,1,FALSE
75,2,0,1,1,FALSE
100,3,0,3,2,FALSE
71,6,0,4,1,FALSE
73,2,0,15,2,TRUE
80,6,0,12,1,TRUE
100,1,0,0,2,TRUE
0,3,0,0,1,TRUE
100,7,0,7,2,TRUE
100,6,2,10,2,FALSE
100,7,0,6,2,TRUE
100,4,1,10,2,TRUE
0,1,1,1,2,FALSE
0,2,1,1,1,FALSE
83,5,1,7,2,TRUE
100,7,1,4,2,TRUE
0,3,1,1,1,FALSE
100,3,0,0,1,FALSE
78,1,0,2,2,TRUE
100,6,0,4,2,FALSE
100,4,0,4,1,FALSE
50,5,0,5,1,TRUE
33,7,0,2,2,FALSE
33,6,1,2,2,FALSE
33,7,0,3,2,FALSE
100,6,3,20,1,TRUE
100,6,1,7,2,FALSE
100,7,1,5,2,FALSE
100,7,0,8,1,FALSE
100,8,0,3,2,FALSE
100,8,0,2,2,FALSE
100,7,0,3,2,FALSE
83,2,0,4,1,FALSE
100,6,0,5,2,TRUE
100,6,2,2,2,FALSE
50,1,0,2,2,FALSE
0,3,1,2,1,TRUE
0,2,1,1,2,FALSE
0,3,1,1,1,FALSE
100,6,5,3,2,TRUE
66,1,0,2,2,FALSE
66,7,0,5,1,FALSE
0,3,2,2,1,TRUE
0,1,0,3,2,FALSE
84,4,0,3,1,FALSE
100,4,0,6,1,FALSE
82,5,0,2,2,FALSE
100,7,0,2,2,FALSE
50,5,2,8,1,TRUE
100,6,0,3,1,TRUE
82,8,1,5,1,TRUE
100,6,0,3,1,FALSE
100,6,4,11,2,TRUE
0,3,1,1,1,FALSE
100,5,0,4,1,FALSE
100,4,1,4,1,FALSE
66,6,0,5,1,FALSE
70,5,0,4,1,FALSE
100,9,1,6,2,TRUE
100,10,1,2,1,FALSE
0,4,2,2,2,FALSE
66,1,0,5,2,TRUE
100,3,1,0,1,FALSE
0,3,1,1,1,FALSE
100,6,5,6,2,FALSE
100,6,2,7,2,TRUE
57,1,5,3,2,FALSE
50,6,4,2,1,FALSE
100,6,2,11,2,FALSE
100,7,0,8,1,FALSE
50,6,2,4,1,FALSE
73,7,0,7,1,FALSE
71,4,0,7,1,FALSE
100,2,0,2,2,FALSE
100,3,2,1,2,FALSE
100,5,1,5,2,FALSE
50,2,0,1,1,FALSE
100,7,0,7,2,FALSE
100,7,0,6,2,FALSE
100,6,1,3,2,FALSE
0,6,2,2,1,FALSE
0,3,0,0,1,FALSE
100,6,0,0,1,FALSE
50,7,0,3,1,FALSE
100,4,0,5,1,FALSE
0,2,0,2,1,FALSE
100,7,1,4,2,FALSE
0,5,2,1,1,FALSE
75,7,1,6,1,FALSE
100,4,0,2,2,TRUE
83,7,0,6,1,FALSE
60,2,1,5,1,FALSE
50,1,0,1,3,FALSE
33,1,2,3,4,TRUE
66,1,0,0,2,FALSE
33,1,6,2,2,FALSE
0,3,2,2,1,FALSE
55,1,0,2,2,FALSE
100,6,1,5,2,FALSE
47,6,1,1,1,FALSE
33,2,0,3,1,FALSE
100,7,1,10,2,FALSE
87,2,0,4,4,FALSE
100,1,0,1,2,FALSE
100,6,2,9,2,FALSE
