"PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","HeuBug"
"97","2","0","2","1","FALSE"
"80","1","0","3","1","FALSE"
"43","1","0","1","1","FALSE"
"57","1","0","2","1","FALSE"
"86","1","0","0","2","FALSE"
"95","1","0","0","2","FALSE"
"86","1","0","0","2","FALSE"
"86","1","0","0","2","FALSE"
"86","1","0","0","2","FALSE"
"70","1","0","0","1","FALSE"
"0","1","0","0","1","FALSE"
"93","2","0","1","1","FALSE"
"89","1","0","0","1","FALSE"
"66","1","0","0","1","FALSE"
"86","1","0","0","1","FALSE"
"97","2","0","3","1","FALSE"
"33","1","0","2","1","FALSE"
"89","1","1","11","1","FALSE"
"50","2","0","0","1","FALSE"
"87","2","0","5","1","FALSE"
"76","2","0","10","2","FALSE"
"40","2","0","6","1","TRUE"
"66","2","0","5","1","FALSE"
"50","2","0","2","1","FALSE"
"50","2","0","0","1","FALSE"
"89","1","0","9","1","FALSE"
"97","3","1","12","4","FALSE"
"0","4","0","7","1","FALSE"
"0","0","2","18","0","FALSE"
"0","1","0","0","1","FALSE"
"87","2","0","17","2","FALSE"
"61","2","0","7","1","TRUE"
"72","2","0","4","1","FALSE"
"60","2","0","7","1","TRUE"
"78","2","0","4","1","FALSE"
"50","2","0","3","1","FALSE"
"33","2","0","6","1","FALSE"
"14","2","0","3","1","FALSE"
"94","1","1","7","2","FALSE"
"0","2","0","4","1","FALSE"
"98","1","0","6","2","FALSE"
"96","1","1","25","3","FALSE"
"0","0","1","2","0","FALSE"
"93","1","0","8","1","FALSE"
"94","1","1","14","1","TRUE"
"99","1","1","13","2","TRUE"
"72","1","0","5","1","FALSE"
"83","1","0","5","1","FALSE"
"0","0","3","1","0","FALSE"
"0","3","0","4","1","FALSE"
"87","1","0","5","1","FALSE"
"66","1","0","0","1","FALSE"
"0","1","0","4","1","FALSE"
"60","1","0","0","1","FALSE"
"100","1","0","0","1","FALSE"
"33","1","0","0","2","FALSE"
"0","1","0","0","2","FALSE"
"53","1","0","0","2","FALSE"
"33","1","0","0","2","FALSE"
"94","1","2","8","2","FALSE"
"48","1","1","6","2","TRUE"
"0","2","0","5","1","TRUE"
"94","1","1","19","2","FALSE"
"0","1","2","3","1","FALSE"
"0","0","2","3","0","FALSE"
"0","1","1","2","2","FALSE"
"0","2","0","4","1","FALSE"
"93","2","2","23","3","TRUE"
"0","3","0","8","1","FALSE"
"0","2","2","2","1","FALSE"
"26","1","0","0","1","FALSE"
"96","1","1","23","3","FALSE"
"0","1","1","4","1","FALSE"
"33","1","0","4","2","FALSE"
"84","1","0","4","1","FALSE"
"86","1","0","8","1","FALSE"
"25","1","0","0","2","FALSE"
"100","1","0","0","1","FALSE"
"91","1","1","11","1","FALSE"
"85","1","0","0","1","FALSE"
"93","3","4","9","2","FALSE"
"0","1","1","3","1","FALSE"
"25","2","0","2","1","FALSE"
"92","1","0","0","1","FALSE"
"70","3","0","3","2","FALSE"
"95","1","2","20","3","FALSE"
"0","2","0","5","1","FALSE"
"0","1","2","8","1","FALSE"
"37","1","0","6","1","FALSE"
"0","0","3","0","0","FALSE"
"0","3","0","4","1","FALSE"
"0","3","0","4","1","FALSE"
"42","2","0","5","1","FALSE"
"58","2","2","3","1","FALSE"
"94","1","0","8","1","FALSE"
"88","1","0","4","1","FALSE"
"0","2","0","3","2","FALSE"
"66","1","0","4","2","FALSE"
"74","1","2","13","2","TRUE"
"42","2","0","2","1","FALSE"
"80","2","1","8","2","FALSE"
"19","3","0","3","1","FALSE"
"69","1","0","1","2","FALSE"
"83","1","1","2","1","FALSE"
"0","1","0","25","2","FALSE"
"0","1","0","35","2","FALSE"
"100","1","0","0","1","FALSE"
"0","2","0","1","1","FALSE"
"0","1","1","4","1","FALSE"
"0","0","1","2","0","FALSE"
"0","0","1","2","0","FALSE"
"100","1","0","0","1","FALSE"
"66","2","0","4","1","FALSE"
"64","2","0","3","1","FALSE"
"0","1","0","0","1","FALSE"
"0","1","0","0","1","FALSE"
"80","1","0","0","2","FALSE"
"94","2","0","35","1","FALSE"
"44","3","0","9","2","FALSE"
"0","1","0","2","1","FALSE"
"96","2","1","39","1","FALSE"
"89","3","0","10","1","TRUE"
"95","2","1","21","2","FALSE"
"0","2","1","12","2","FALSE"
"93","2","1","22","1","TRUE"
"66","2","1","6","1","TRUE"
"0","3","0","5","1","TRUE"
"71","1","0","0","1","FALSE"
"88","2","0","5","1","FALSE"
"0","3","1","8","1","FALSE"
"96","3","1","14","1","FALSE"
"56","2","1","11","2","FALSE"
"80","2","1","13","1","FALSE"
"0","3","0","7","1","FALSE"
"0","5","1","15","2","FALSE"
"0","5","1","15","2","FALSE"
"0","2","0","7","1","FALSE"
"83","3","0","5","1","FALSE"
"75","1","1","10","2","FALSE"
"0","4","1","30","2","FALSE"
"94","4","1","25","2","FALSE"
"80","1","0","3","1","FALSE"
"4","1","0","18","1","FALSE"
"0","6","0","11","1","FALSE"
"0","6","0","7","1","FALSE"
"92","1","0","16","2","FALSE"
"0","1","0","2","2","FALSE"
"88","1","1","17","1","FALSE"
"85","1","1","18","1","FALSE"
"0","3","0","6","1","FALSE"
"0","0","1","2","0","FALSE"
"0","0","1","3","0","FALSE"
"0","2","1","6","1","FALSE"
"0","0","1","3","0","FALSE"
"0","0","1","5","0","FALSE"
"91","1","0","12","2","FALSE"
"98","1","1","12","3","FALSE"
"100","3","1","4","2","FALSE"
"0","4","0","3","1","FALSE"
"100","2","3","5","2","FALSE"
"0","3","0","3","1","FALSE"
"93","1","0","16","2","FALSE"
"100","3","1","5","2","FALSE"
"0","4","0","3","1","FALSE"
"74","2","0","3","1","FALSE"
"88","2","0","6","2","FALSE"
"82","1","0","0","2","FALSE"
"78","1","0","2","1","FALSE"
"57","2","0","1","1","FALSE"
"0","1","0","2","1","FALSE"
"89","1","0","2","2","FALSE"
"60","1","3","1","2","FALSE"
"0","2","0","0","1","FALSE"
"78","1","0","8","1","FALSE"
"71","2","0","3","1","FALSE"
"46","1","0","1","1","FALSE"
"63","1","0","3","1","FALSE"
"75","2","0","1","1","FALSE"
"84","1","0","0","1","FALSE"
"75","1","0","1","1","FALSE"
"44","1","0","4","1","FALSE"
"97","2","6","10","1","FALSE"
"91","1","0","4","1","FALSE"
"75","1","0","0","1","FALSE"
"84","1","0","1","1","FALSE"
"85","1","0","2","1","FALSE"
"0","1","0","3","1","FALSE"
"60","1","0","1","1","FALSE"
"0","1","0","0","1","FALSE"
"0","1","0","1","1","FALSE"
"0","1","0","1","1","FALSE"
"0","1","0","0","1","FALSE"
"91","2","0","3","2","FALSE"
"88","1","0","3","1","TRUE"
"84","1","0","5","1","FALSE"
"80","1","1","0","1","FALSE"
"33","1","0","0","1","FALSE"
"37","2","0","1","2","FALSE"
"99","1","0","0","1","FALSE"
"0","2","0","1","1","FALSE"
"40","1","0","0","1","FALSE"
"93","1","1","6","1","FALSE"
"90","1","0","16","1","FALSE"
"90","1","0","13","1","FALSE"
"83","1","0","0","1","FALSE"
"96","2","0","53","1","FALSE"
"84","3","1","8","1","FALSE"
"0","1","0","0","1","FALSE"
"91","1","0","4","1","FALSE"
"95","1","0","13","1","FALSE"
"53","1","0","1","1","FALSE"
"75","1","0","11","1","FALSE"
"50","1","0","0","2","FALSE"
"100","1","0","0","1","FALSE"
"80","1","0","1","1","FALSE"
"70","2","0","0","1","FALSE"
"67","2","0","6","1","FALSE"
"0","2","2","0","1","FALSE"
"97","1","0","4","1","FALSE"
"19","3","0","2","1","FALSE"
"81","2","0","0","1","FALSE"
"80","1","0","0","2","FALSE"
"98","1","0","32","2","FALSE"
"66","1","0","2","1","FALSE"
"55","2","0","1","1","FALSE"
"88","1","0","5","1","FALSE"
"70","1","0","0","1","FALSE"
"0","1","0","4","1","FALSE"
"37","3","0","2","1","FALSE"
"0","1","0","2","1","FALSE"
"92","1","0","7","1","FALSE"
"66","2","0","4","1","FALSE"
"83","1","0","0","3","FALSE"
"0","0","3","0","0","FALSE"
"100","0","2","0","0","FALSE"
"0","0","1","0","0","FALSE"
"100","0","2","2","0","FALSE"
"0","0","1","4","0","FALSE"
"73","2","0","8","1","FALSE"
"0","0","2","0","0","FALSE"
"0","0","1","0","0","FALSE"
"0","0","1","0","0","FALSE"
"98","1","0","24","2","TRUE"
