"PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","HeuBug"
"100","0","1","0","0","FALSE"
"96","1","0","0","2","FALSE"
"0","1","0","0","1","FALSE"
"87","1","0","9","2","FALSE"
"0","2","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"80","1","6","2","1","FALSE"
"59","2","0","0","1","FALSE"
"50","2","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"0","1","0","5","1","FALSE"
"0","1","0","3","1","FALSE"
"75","3","0","3","2","FALSE"
"75","2","0","0","1","FALSE"
"93","1","0","15","2","FALSE"
"0","0","0","0","0","FALSE"
"90","2","0","0","1","FALSE"
"0","0","0","0","0","FALSE"
"81","1","1","30","3","TRUE"
"0","0","0","0","0","FALSE"
"83","2","0","30","1","TRUE"
"55","3","0","21","2","FALSE"
"50","1","0","1","2","FALSE"
"0","0","1","0","0","FALSE"
"82","1","1","9","2","FALSE"
"9","2","1","0","2","FALSE"
"86","3","0","1","2","FALSE"
"33","2","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"0","2","1","0","1","FALSE"
"16","1","0","0","2","FALSE"
"50","2","2","1","1","FALSE"
"0","0","3","1","0","FALSE"
"0","0","0","0","0","TRUE"
"91","3","33","10","4","FALSE"
"0","2","0","1","1","FALSE"
"0","0","2","1","0","FALSE"
"0","0","0","0","0","FALSE"
"6","1","7","9","4","TRUE"
"0","2","0","0","1","FALSE"
"73","2","0","2","2","FALSE"
"96","3","4","30","2","TRUE"
"60","2","0","6","1","FALSE"
"0","0","0","0","0","FALSE"
"0","0","0","1","0","FALSE"
"90","3","4","14","2","TRUE"
"70","1","0","1","2","FALSE"
"0","1","2","0","1","FALSE"
"0","0","9","1","0","FALSE"
"50","1","30","3","2","FALSE"
"0","0","1","0","0","FALSE"
"72","2","11","2","1","FALSE"
"88","2","0","10","2","TRUE"
"80","1","0","3","1","FALSE"
"88","2","10","6","6","FALSE"
"0","4","0","0","1","FALSE"
"0","0","0","0","0","FALSE"
"50","3","0","2","1","FALSE"
"0","0","3","0","0","FALSE"
"48","2","0","4","2","FALSE"
"0","0","0","0","0","FALSE"
"0","2","0","1","1","FALSE"
"60","2","2","5","1","FALSE"
"0","1","4","2","1","FALSE"
"97","4","3","78","3","TRUE"
"0","1","1","7","1","FALSE"
"33","2","0","1","1","FALSE"
"0","2","1","1","1","FALSE"
"0","2","0","0","1","FALSE"
"96","2","14","6","2","FALSE"
"0","0","1","2","0","FALSE"
"79","1","14","0","1","TRUE"
"0","3","0","2","1","FALSE"
"19","3","0","0","1","FALSE"
"57","3","1","1","1","FALSE"
"42","3","3","0","1","FALSE"
"0","0","0","0","0","FALSE"
"0","2","2","2","1","FALSE"
"0","0","0","0","0","FALSE"
"0","3","0","0","1","FALSE"
"67","2","0","7","2","FALSE"
"25","1","0","0","1","FALSE"
"0","1","0","0","1","FALSE"
"19","1","0","1","1","FALSE"
"63","2","3","7","2","FALSE"
"0","2","3","1","1","FALSE"
"0","4","0","0","1","FALSE"
"57","2","1","1","1","FALSE"
"35","2","3","10","1","FALSE"
"77","2","1","5","2","FALSE"
"0","0","0","0","0","TRUE"
"0","3","0","0","1","FALSE"
"63","2","0","1","1","FALSE"
"0","3","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"56","1","0","0","2","FALSE"
"50","2","0","1","1","FALSE"
"0","0","10","0","0","FALSE"
"0","3","0","4","1","FALSE"
"65","1","0","1","3","FALSE"
"25","2","0","2","1","FALSE"
"71","2","0","8","1","FALSE"
"25","1","0","0","1","FALSE"
"0","0","2","1","0","FALSE"
"66","1","0","1","3","FALSE"
"72","1","0","0","2","FALSE"
"0","0","3","0","0","FALSE"
"0","2","0","0","1","FALSE"
"58","2","2","1","2","FALSE"
"33","3","0","7","2","TRUE"
"50","3","0","1","1","TRUE"
"0","1","0","0","1","FALSE"
"55","3","0","6","1","FALSE"
"50","3","0","2","1","FALSE"
"85","2","0","11","1","FALSE"
"0","0","1","0","0","FALSE"
"0","2","0","1","2","FALSE"
"73","2","1","5","1","FALSE"
"58","1","0","7","2","FALSE"
"5","2","0","1","2","FALSE"
"0","1","1","0","2","FALSE"
"0","0","2","0","0","FALSE"
"0","0","33","0","0","FALSE"
"0","1","1","0","1","FALSE"
"98","1","1","12","2","TRUE"
"33","2","0","3","1","FALSE"
"68","2","0","9","1","FALSE"
"60","3","0","5","3","FALSE"
"66","2","9","3","1","FALSE"
"71","3","0","5","3","FALSE"
"66","3","0","5","3","FALSE"
"60","3","0","5","3","FALSE"
"60","3","0","5","3","FALSE"
"71","3","0","5","3","FALSE"
"80","1","0","1","3","FALSE"
"0","0","0","0","0","FALSE"
"0","0","0","0","0","FALSE"
"0","2","0","1","1","FALSE"
"0","0","0","0","0","FALSE"
"66","2","0","1","1","FALSE"
"87","1","0","1","1","FALSE"
"50","1","0","2","1","FALSE"
"71","2","0","8","2","FALSE"
"0","1","0","0","1","TRUE"
"100","2","0","5","2","FALSE"
"0","0","3","1","0","FALSE"
"0","1","3","2","1","FALSE"
"72","2","0","10","2","TRUE"
"76","1","4","1","1","TRUE"
"0","2","1","5","2","TRUE"
"0","2","1","4","2","TRUE"
"0","3","0","3","2","TRUE"
"0","3","0","3","2","TRUE"
"77","1","0","1","1","FALSE"
"82","3","2","7","2","FALSE"
"81","1","0","7","1","FALSE"
"0","1","0","4","2","FALSE"
"90","2","0","13","2","FALSE"
"40","2","0","1","1","FALSE"
"94","2","0","4","2","FALSE"
"66","3","0","2","1","FALSE"
"84","2","1","3","2","FALSE"
"98","2","0","2","1","FALSE"
"100","1","0","0","1","FALSE"
"94","2","0","6","3","FALSE"
"73","2","0","1","1","FALSE"
"0","1","2","2","2","FALSE"
"84","2","0","5","1","FALSE"
"83","3","0","3","2","FALSE"
"84","2","6","3","1","FALSE"
"85","1","0","0","1","FALSE"
"0","1","0","2","2","FALSE"
"0","1","0","3","1","FALSE"
"72","2","0","4","1","FALSE"
"0","0","1","2","0","FALSE"
"94","3","1","11","2","FALSE"
"0","1","0","3","1","FALSE"
"66","2","0","1","1","FALSE"
"79","2","0","1","1","FALSE"
"87","1","0","7","2","FALSE"
"95","2","35","6","1","FALSE"
"62","2","0","3","1","FALSE"
"0","0","0","0","0","FALSE"
"64","1","0","0","1","FALSE"
"40","1","0","1","2","FALSE"
"87","1","0","7","2","FALSE"
"0","3","0","1","1","FALSE"
"0","2","0","5","2","FALSE"
"28","1","0","3","1","FALSE"
"88","4","3","16","2","TRUE"
"59","3","6","9","2","FALSE"
"60","3","5","7","2","FALSE"
"0","1","0","1","2","FALSE"
"19","2","0","3","1","TRUE"
"93","1","0","11","2","TRUE"
"0","0","2","1","0","FALSE"
"0","2","0","0","1","FALSE"
"0","2","0","0","1","FALSE"
"73","3","0","4","2","FALSE"
"91","4","1","5","2","FALSE"
"50","5","0","3","2","FALSE"
"50","4","0","4","2","FALSE"
"91","2","4","11","3","FALSE"
"0","3","0","2","2","FALSE"
