"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"15","1","0","18","52","37","3","15","14","0.75","271","1","4","0","0.255102041","0","0","16.53333333","13","2.0667","Yes"
"3","3","0","2","8","3","1","1","3","1.5","60","0","0","1","0.555555556","0","0","15","0","0","No"
"15","1","18","23","33","7","18","5","5","0.476190476","229","1","0","0","0.380952381","0","0","14.06666667","4","2.3333","Yes"
"2","3","0","6","5","1","2","4","2","2","14","0","0","0.8","0.5","0","0","6","1","0.5","No"
"2","1","0","11","2","1","8","3","2","2","2","0","0","0","0.833333333","0","0","0","1","1","Yes"
"4","2","0","8","29","4","0","8","3","0.666666667","141","1","0","0.6","0.666666667","0","0","34","6","1.75","No"
"4","2","0","7","19","4","1","7","1","0.666666667","78","1","1","0.818181818","0.444444444","1","1","18.25","5","1.5","Yes"
"51","1","0","4","71","1025","1","3","47","0.86","481","1","0","0","0.236666667","0","0","8.274509804","3","1.2157","No"
"14","1","0","14","46","0","5","9","9","0.730769231","544","1","0","0","0.285714286","0","0","37.28571429","8","3.2857","No"
"4","1","0","4","31","0","4","0","2","0.5","179","1","0","0","0.333333333","0","0","42.75","4","2","No"
"2","2","2","16","30","1","2","14","1","2","373","0","0","0.857142857","0.666666667","0","0","185.5","25","12.5","No"
"17","1","0","23","77","34","4","19","15","0.848214286","673","0.714285714","6","0","0.2421875","0","0","37.76470588","30","3.4118","No"
"3","2","0","10","25","3","0","10","3","2","139","0","0","0.75","0.555555556","0","0","45.33333333","10","3.6667","No"
"10","1","0","33","10","45","30","5","10","2","10","0","0","0","0.283333333","0","0","0","1","1","No"
"20","2","0","31","107","104","3","29","14","0.872807018","844","0.833333333","1","0.40625","0.185","0","0","40.6","39","3.5","Yes"
"15","2","0","12","73","67","0","12","11","0.761904762","609","1","0","0.277777778","0.276785714","2","3","39.4","9","2.4","No"
"3","2","0","8","24","3","0","8","3","2","114","0","0","0.75","0.555555556","0","0","37","7","2.6667","No"
"17","2","0","14","58","100","2","12","11","0.90625","444","1","2","0.464285714","0.3","0","0","24.64705882","12","2.0588","Yes"
"3","2","0","11","25","3","0","11","3","2","156","0","0","0.75","0.555555556","0","0","51","12","4.3333","No"
