"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"1","1","0","4","2","0","1","3","0","2","4","0","0","0","1","0","0","3","0","0","No"
"7","4","0","2","20","21","1","0","7","2","67","0","0","0.910447761","0.571428571","2","2","8.571428571","2","1","No"
"7","1","0","6","33","19","3","0","5","0.666666667","179","0","0","0","0.444444444","0","0","24.42857143","1","0.7143","Yes"
"27","6","0","14","67","273","1","0","20","0.730769231","483","0.666666667","0","0.826666667","0.145061728","4","6","16.66666667","8","1.8519","No"
"1","3","0","5","2","0","1","4","1","2","9","0","0","1","1","0","0","7","0","0","No"
"5","1","0","8","9","8","4","4","3","0.75","29","1","1","0","0.5","0","0","4.6","2","0.8","No"
"18","2","0","25","85","133","2","0","6","0.781512605","568","1","1","0.272727273","0.31372549","1","3","30.16666667","11","2.0556","No"
"5","1","0","5","9","8","1","4","3","0.75","29","1","1","0","0.5","0","0","4.6","2","0.8","No"
"2","3","0","5","5","0","1","4","2","1","22","0.5","1","0.933333333","0.625","0","0","9","1","0.5","No"
"12","1","0","3","24","0","1","3","11","0.303030303","222","1","1","0","0.316666667","0","0","17","2","1","No"
"13","1","0","9","51","24","7","3","12","0.65","297","1","0","0","0.346153846","0","0","21.46153846","4","1.8462","No"
"1","1","0","4","1","0","2","0","1","2","1","0","0","0","1","0","0","0","1","1","No"
"20","2","0","19","84","88","1","0","14","0.719298246","685","1","0","0.672413793","0.166666667","1","3","33.1","5","1.75","No"
"3","1","3","4","4","1","3","1","2","0","16","1","0","0","0.666666667","0","0","4","1","0.6667","No"
"3","2","0","3","9","3","1","0","3","2","27","0","0","0.777777778","0.833333333","1","1","8","1","0.6667","No"
"23","1","0","16","74","171","7","12","22","0.828282828","610","1","2","0","0.147826087","0","0","25.13043478","4","1.8261","No"
"20","1","5","14","44","112","7","7","10","0.614035088","255","1","1","0","0.177272727","0","0","11.6","3","1.2","Yes"
