"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"6","1","0","12","65","3","1","11","2","0.7","585","0.5","0","0","0.3","0","0","96.16666667","39","7","No"
"4","3","0","5","9","4","0","5","3","0.666666667","30","1","0","0.6","0.666666667","0","0","6.25","1","0.5","No"
"5","2","0","11","41","6","0","11","3","0.846153846","423","0.923076923","0","0.25","0.416666667","0","0","81","17","3.8","No"
"6","1","0","6","22","0","4","3","5","0","154","1","0","0","0.5","0","0","24.5","7","3","No"
"1","1","0","9","1","0","8","1","1","2","1","0","0","0","1","0","0","0","1","1","No"
"4","2","0","4","22","2","1","3","2","0.555555556","139","1","0","0.5","0.625","0","0","33","4","1.75","Yes"
"18","2","0","13","60","65","3","10","9","0.903743316","454","0.454545455","0","0.272727273","0.25210084","0","0","23.61111111","7","1.8889","No"
"2","3","0","7","4","1","5","2","2","2","9","0","0","0.933333333","0.75","0","0","3.5","1","0.5","No"
"8","1","1","10","41","20","1","9","5","0.857142857","220","0.666666667","0","0","0.357142857","0","0","26.125","14","2.375","No"
"7","1","0","1","8","0","1","0","7","0.722222222","104","1","0","0","0.428571429","0","0","13","5","1.4286","No"
"1","1","0","12","1","0","10","2","1","2","1","0","0","0","1","0","0","0","1","1","No"
"5","3","0","7","17","8","2","5","3","0.833333333","89","0.666666667","0","0.823529412","0.5","2","2","16.2","6","1.6","No"
"4","2","0","4","8","4","0","4","3","0.666666667","27","1","0","0.333333333","0.666666667","0","0","5.5","1","0.5","No"
"8","1","11","25","35","20","11","14","4","0.685714286","183","0.8","0","0","0.333333333","0","0","21.25","5","1.75","No"
"6","1","0","15","32","9","1","14","2","1","230","0.777777778","1","0","0.32","0","0","35.83333333","14","2.8333","No"
"1","1","0","0","2","0","0","0","1","2","4","0","0","0","1","0","0","3","0","0","No"
"9","2","0","6","10","22","3","3","9","0.791666667","47","0.666666667","1","0.333333333","0.277777778","0","0","3.888888889","1","0.8889","No"
"23","2","0","15","59","203","3","12","21","0.924242424","350","0.916666667","2","0.16","0.210227273","1","1","13.69565217","13","1.6957","No"
"6","2","0","11","26","13","0","11","3","0.866666667","105","0.333333333","0","0.6","0.4","1","2","16","4","1.3333","No"
"9","1","0","10","33","28","1","10","3","0.833333333","144","0.666666667","1","0","0.232142857","0","0","14.66666667","3","1.2222","No"
"15","2","0","17","68","43","2","15","9","0.825396825","473","0.777777778","0","0.315789474","0.223214286","0","0","29.93333333","10","1.8","Yes"
"19","1","0","16","50","105","4","12","15","0.87037037","279","0.888888889","3","0","0.222222222","0","0","13.21052632","7","1.4737","No"
"8","1","0","9","21","20","1","8","3","0.80952381","88","0.666666667","1","0","0.238095238","0","0","9.625","2","0.875","No"
