"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"3","1","0","3","19","0","0","3","2","0.75","104","0.5","0","0","0.666666667","0","0","33","1","0.6667","No"
"3","5","0","6","14","3","5","2","3","2","52","0","0","0.96875","0.555555556","1","1","16.33333333","3","1.6667","No"
"10","1","0","15","39","19","4","12","8","0.888888889","344","0.25","1","0","0.228571429","0","0","32.6","3","1.1","No"
"24","3","0","17","118","72","2","15","17","0.851449275","1066","0.916666667","1","0.616666667","0.185185185","3","4","42.91666667","6","1.7083","Yes"
"12","1","0","3","22","44","1","2","5","0.805194805","156","1","1","0","0.261904762","0","0","11.41666667","4","1.25","No"
"19","3","0","10","61","135","0","10","16","0.888888889","504","1","0","0.672727273","0.378947368","1","1","24.78947368","13","1.9474","No"
"2","3","0","3","7","1","1","3","2","2","23","0","0","0.96969697","1","0","0","10.5","1","0.5","No"
"3","2","0","4","6","0","1","3","3","0","30","1","0","0.818181818","0.666666667","0","0","8.666666667","2","1","No"
"23","4","2","22","77","149","2","20","16","0.826704545","1164","1","4","0.777777778","0.142857143","3","7","48.91304348","19","2.3043","No"
"12","3","0","11","38","2","2","10","8","0.409090909","224","1","0","0.731707317","0.197916667","2","3","17.5","4","1.8333","Yes"
"7","1","0","2","8","0","2","0","1","0.5","1082","0","0","0","0.666666667","0","0","153.2857143","2","0.8571","No"
"20","4","0","13","97","116","1","13","16","0.868421053","895","1","0","0.7625","0.19","4","4","42.85","1","0.95","Yes"
"9","1","0","8","23","0","5","3","8","0.5","148","1","1","0","0.288888889","0","0","14.88888889","4","1.3333","No"
"3","2","0","5","7","1","1","4","3","0.5","29","1","0","0.818181818","0.666666667","0","0","8.333333333","1","0.6667","No"
"30","1","0","31","65","303","29","4","26","0.689655172","634","1","0","0","0.177339901","0","0","20.03333333","18","2.2333","Yes"
"3","6","0","7","11","3","5","3","3","2","37","0","0","0.96969697","1","2","3","11.33333333","2","1.3333","No"
"30","3","0","15","109","395","4","13","13","0.869731801","929","0.555555556","4","0.517241379","0.211206897","1","1","29.66666667","8","1.9667","No"
"8","5","0","9","29","0","1","8","5","0.571428571","187","1","0","0.823529412","0.375","2","5","22","4","1.125","No"
"9","2","0","17","73","14","7","16","4","0.725","432","1","5","0.708333333","0.275","1","1","46.44444444","1","0.7778","Yes"
"23","3","0","15","88","201","0","15","19","0.847107438","541","1","1","0.627118644","0.144927536","2","2","22.04347826","13","2.1304","No"
"1","1","0","16","1","0","15","1","1","2","1","0","0","0","1","0","0","0","1","1","No"
"30","3","0","51","102","301","40","13","24","0.603448276","1238","0.5","1","0.526315789","0.12183908","2","6","40.2","15","2.6333","No"
"8","5","0","6","26","0","1","5","5","0.571428571","172","1","0","0.823529412","0.375","2","5","20.125","4","1.125","No"
"3","3","0","3","10","0","0","3","3","0","32","1","0","0.948717949","0.666666667","0","0","9.333333333","1","0.6667","No"
"6","1","0","1","8","0","0","1","6","0","43","1","1","0","0.666666667","0","0","6","1","0.8333","No"
"3","2","0","9","28","3","1","8","2","2","155","0","0","0.92","1","1","1","50.66666667","11","4","Yes"
"13","5","0","11","34","68","5","7","12","0.75","199","1","0","0.837837838","0.292307692","2","8","14.15384615","5","2.1538","No"
"8","5","0","10","23","0","5","5","8","0.761904762","198","0.5","0","0.844444444","0.35","1","4","23","6","2.25","No"
"6","5","0","9","22","0","4","5","6","0.6","105","0.5","0","0.88372093","0.333333333","2","5","16.16666667","4","1.6667","No"
"3","4","0","4","21","3","0","4","1","1.5","144","1","0","0.960784314","1","2","3","46.66666667","9","3.3333","No"
"5","3","0","5","15","4","0","5","5","0.75","90","1","0","0.902439024","0.533333333","0","0","16.4","1","0.8","No"
"3","1","0","3","3","3","2","1","3","2","3","0","0","0","0.666666667","0","0","0","1","1","No"
"2","3","0","0","3","1","0","0","2","2","7","0","0","0.909090909","0.75","1","1","2.5","1","0.5","No"
"3","1","0","3","17","0","2","1","3","0.25","204","1","0","0","0.666666667","0","0","65.66666667","2","1","No"
"22","5","1","17","73","151","4","15","14","0.848484848","618","1","0","0.72","0.221590909","0","0","26.59090909","7","1.6364","Yes"
"1","1","0","8","1","0","6","2","1","2","1","0","0","0","1","0","0","0","1","1","No"
"4","2","0","6","14","2","1","5","4","0.666666667","68","1","1","0.75","0.5","0","0","15.5","1","0.75","No"
"3","4","0","5","25","3","0","5","1","1.5","191","1","0","0.960784314","1","2","3","62.33333333","13","4.6667","No"
"18","1","2","23","68","151","16","9","17","1.039215686","413","0.166666667","0","0","0.152777778","0","0","21.61111111","4","1.5","Yes"
"8","3","0","2","39","10","0","2","8","0.714285714","308","1","0","0.840909091","0.325","1","1","37","4","1.25","No"
"20","1","0","3","50","74","2","2","18","0.6","721","1","2","0","0.28125","0","0","34.8","7","2.4","Yes"
"35","1","0","12","79","333","2","11","31","0.751633987","487","1","6","0","0.167857143","0","0","12.65714286","7","1.7143","Yes"
"10","5","0","6","30","0","1","5","6","0.688888889","328","1","1","0.777777778","0.375","2","5","30.8","12","2.3","No"
"4","4","0","4","13","0","1","3","4","0","87","1","0","0.928571429","0.75","2","4","20.5","1","0.5","No"
"53","1","1","37","119","1112","28","9","28","0.842657343","1739","1","2","0","0.244505495","0","0","31.39622642","23","2.8113","Yes"
"15","1","2","8","23","67","6","2","9","0.714285714","170","1","0","0","0.516666667","0","0","9.933333333","2","1","Yes"
"7","1","1","5","8","3","5","0","7","0.75","47","1","0","0","0.476190476","0","0","5.142857143","1","0.8571","No"
