"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"2","1","0","8","2","1","7","1","2","2","2","0","0","0","0.666666667","0","0","0","1","1","No"
"23","1","0","7","52","171","2","5","20","0.837662338","420","1","2","0","0.25","0","0","16.95652174","4","1.4348","Yes"
"4","1","0","10","4","6","9","1","4","2","4","0","0","0","0.55","0","0","0","1","1","Yes"
"13","4","2","17","57","22","2","15","9","0.25","346","1","1","0.85","0.192307692","3","7","25.53846154","6","1.6154","Yes"
"38","2","0","37","153","569","1","37","21","0.89527027","1515","0.875","1","0.307692308","0.122332859","1","1","38.65789474","4","1.5","Yes"
"15","4","0","8","51","47","1","8","15","0.785714286","255","1","0","0.777777778","0.366666667","2","4","15.6","1","0.9333","Yes"
"6","1","0","13","6","15","11","3","6","2","6","0","0","0","1","0","0","0","1","1","Yes"
"4","1","2","4","25","6","2","2","4","2","126","0","0","0","0.625","1","1","30.5","8","2.75","No"
"8","2","0","7","15","0","4","3","8","0.571428571","83","0","1","0.3","0.34375","1","4","9.125","1","0.875","Yes"
"1","1","0","4","1","0","4","1","1","2","1","0","0","0","1","0","0","0","1","1","No"
"2","5","0","3","5","1","0","3","2","2","12","0","0","0.987654321","1","1","1","5","1","0.5","No"
"19","1","0","6","25","135","4","2","12","0.944444444","167","0.5625","2","0","0.256578947","0","0","6.947368421","4","1","No"
"5","1","0","3","17","0","1","2","4","0.416666667","74","1","0","0","0.5","0","0","13.2","4","1.2","Yes"
"15","4","0","9","44","63","0","9","15","0.833333333","230","1","0","0.777777778","0.366666667","2","4","13.93333333","1","0.9333","Yes"
"7","1","0","7","12","0","5","3","7","0.5","40","1","1","0","0.428571429","0","0","4.428571429","1","0.8571","No"
"7","1","0","28","7","21","26","2","7","2","7","0","0","0","1","0","0","0","1","1","No"
"6","1","0","27","13","0","27","0","6","0.2","87","1","0","0","0.444444444","1","1","13.16666667","4","1.3333","Yes"
