"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"3","1","0","1","21","0","0","1","2","0","74","1","0","0","0.555555556","0","0","23.33333333","2","1.3333","No"
"3","1","0","4","18","0","2","3","2","0","66","1","0","0","0.555555556","0","0","20.66666667","3","1.6667","No"
"23","1","0","7","32","183","7","0","22","0.890909091","205","1","0","0","0.405797101","0","0","7.47826087","6","1.1739","Yes"
"13","2","0","14","72","34","2","14","9","0.604166667","419","0.875","2","0.727272727","0.240384615","0","0","30.61538462","5","2.2308","Yes"
"4","1","0","3","19","0","1","2","4","0","97","1","0","0","0.4375","0","0","23","1","0.75","Yes"
"2","1","0","4","8","0","2","2","2","0","24","1","0","0","0.625","0","0","10.5","1","0.5","No"
"11","2","0","21","40","0","1","21","8","0.55","209","1","2","0.947368421","0.173553719","0","0","17.63636364","5","1.9091","No"
"5","4","0","7","28","0","0","7","5","0.666666667","156","1","0","0.951219512","0.533333333","2","2","29.6","1","0.8","Yes"
"1","1","0","6","1","0","5","1","1","2","1","0","0","0","1","0","0","0","1","1","No"
"7","1","0","7","30","11","3","6","5","0.666666667","218","1","0","0","0.2","0","0","29.85714286","7","2.1429","Yes"
"5","2","0","19","18","0","8","15","4","0.785714286","84","0","7","0.5","0.4","0","0","14.4","3","1.2","Yes"
"10","3","0","13","41","7","1","12","9","0.638888889","286","0.5","0","0.72","0.285714286","2","6","27.2","6","1.4","Yes"
"10","1","0","4","38","0","0","4","9","0.388888889","287","1","0","0","0.34","0","0","27.5","5","1.6","No"
"4","4","0","3","7","6","2","2","1","2","26","0","0","0.98125","0.5","2","3","5.5","3","1.25","No"
"25","2","2","20","82","160","5","18","8","0.881944444","596","0.833333333","5","0.768421053","0.197916667","2","8","22.36","3","1.08","Yes"
"5","1","3","13","6","10","10","3","0","2","8","0","0","0","0.6","0","0","0.6","1","0.8","No"
"13","1","0","13","61","0","4","9","0","0.881944444","553","0.333333333","3","0","0.179487179","0","0","40.61538462","4","1","Yes"
"17","2","0","6","34","34","1","6","7","0.722222222","323","0.777777778","1","0.444444444","0.173611111","1","2","17.47058824","3","1","Yes"
"13","1","0","8","36","58","1","7","13","0.791666667","191","1","2","0","0.201923077","0","0","13.38461538","1","0.9231","No"
"8","1","0","30","8","28","28","2","8","2","8","0","0","0","0.3","0","0","0","1","1","No"
"3","1","0","3","7","0","2","1","3","0.142857143","125","0.142857143","1","0","0.555555556","0","0","38.33333333","3","1.6667","No"
"8","2","0","2","19","0","1","1","8","0.428571429","65","0","1","0.708333333","0.3","1","4","6.875","1","0.875","No"
"6","1","1","5","7","15","3","3","0","2","9","0","0","0","0.416666667","0","0","0.5","1","0.8333","No"
"7","1","2","10","8","21","7","3","0","2","10","0","0","0","0.4","0","0","0.428571429","1","0.8571","No"
"6","2","0","10","25","0","2","10","6","0.666666667","91","0","3","0.5","0.333333333","0","0","13.66666667","1","0.8333","Yes"
"6","2","0","2","17","0","0","2","6","0.1","90","1","1","0.5","0.583333333","1","1","13.66666667","2","1.1667","Yes"
"2","1","0","7","5","0","4","5","1","0.833333333","57","0","3","0","0.75","0","0","24.5","1","0.5","Yes"
"27","2","0","20","64","167","13","11","22","0.761538462","446","1","0","0.333333333","0.102564103","2","6","15.33333333","12","1.5926","Yes"
"2","4","0","2","4","1","1","1","1","2","13","0","0","0.923076923","0.666666667","1","1","5.5","2","1","Yes"
"5","1","0","8","6","0","8","0","0","0.125","100","0","0","0","0.55","0","0","18.2","1","0.4","No"
"13","1","0","79","22","0","79","0","10","0.125","145","0","0","0","0.294871795","1","1","10","6","1.2308","Yes"
"2","1","2","7","16","0","2","5","1","0","66","1","1","0","0.666666667","0","0","31.5","1","0.5","No"
"8","2","0","16","22","0","11","6","6","0.142857143","100","1","1","0.631578947","0.232142857","2","2","11.375","4","1.375","Yes"
"7","3","2","4","21","13","2","2","3","0.875","185","0.75","0","0.583333333","0.366666667","1","2","24.28571429","1","0.7143","Yes"
"1","4","0","36","2","0","36","0","1","2","5","0","0","1","1","0","0","4","0","0","No"
"12","2","0","9","33","34","0","9","5","0.590909091","453","1","0","0.885057471","0.283333333","1","5","36.58333333","3","1","No"
"4","1","0","16","6","6","15","3","3","1","15","0","2","0","0.833333333","0","0","2.25","1","0.75","No"
"7","1","0","4","17","5","1","4","5","0.666666667","109","1","2","0","0.392857143","0","0","14.14285714","2","1.2857","Yes"
"5","1","2","11","6","10","8","4","2","2","8","0","0","0","0.466666667","0","0","0.6","1","0.8","No"
"20","1","3","57","36","176","52","5","19","0.894736842","193","0.5","1","0","0.291666667","0","0","8.55","1","0.95","Yes"
"21","2","2","10","47","108","3","8","15","0.920833333","817","0.333333333","1","0.24","0.26875","0","0","37.33333333","2","1","Yes"
"5","1","5","10","6","4","9","1","5","0.5","19","1","0","0","0.8","0","0","2.6","1","0.8","Yes"
"4","3","0","4","14","4","1","3","2","0.833333333","74","0","0","0.777777778","0.416666667","1","2","17","1","0.5","No"
"6","3","0","4","10","15","1","3","6","2","31","0","0","0.615384615","0.666666667","1","3","4.166666667","1","0.8333","Yes"
"7","2","0","9","20","5","2","8","3","0.796296296","191","0","4","0.285714286","0.277777778","0","0","25","8","1.7143","No"
"3","2","0","5","6","3","1","4","3","2","18","0","0","0.5","0.666666667","0","0","5","1","0.6667","No"
"1","2","0","14","2","0","11","3","0","2","11","0","1","1","1","0","0","9","0","0","No"
"7","1","1","13","46","0","2","12","7","0.69047619","357","1","2","0","0.30952381","0","0","49","1","0.8571","Yes"
"18","1","0","30","39","0","28","3","17","0.81372549","432","0.833333333","2","0","0.426470588","0","0","22.66666667","5","2.4444","No"
"12","1","0","3","12","66","3","0","12","2","12","0","0","0","0.583333333","0","0","0","1","1","Yes"
