"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
"23","1","0","5","46","123","1","4","4","0.659090909","668","1","1","0","0.267080745","0","0","27.60869565","8","2.3043","No"
"12","2","0","6","23","46","2","4","10","0.818181818","122","0.5","0","0.55","0.4","1","6","9","2","0.8333","No"
"15","2","0","6","35","41","3","4","13","0.69047619","363","0.666666667","0","0.47826087","0.516666667","1","6","23","2","1.1333","No"
"11","2","0","5","21","43","2","3","9","0.85","117","0.5","0","0.578947368","0.418181818","1","6","9.454545455","2","1","No"
"4","1","0","8","17","0","3","5","3","0","116","1","0","0","0.5","0","0","27.75","2","1.25","Yes"
"9","2","0","4","13","36","2","2","9","1.125","60","0.333333333","0","0.3","0.333333333","0","0","5.333333333","1","0.7778","No"
"20","2","0","6","37","88","1","5","18","0.763157895","348","0.833333333","1","0.392857143","0.36","1","6","16.1","2","0.9","No"
"30","1","0","20","104","87","5","16","22","0.748275862","1151","0.6","4","0","0.146153846","0","0","36.7","20","2.9","Yes"
"14","2","0","6","33","65","2","4","12","0.743589744","229","0.666666667","0","0.5","0.4","1","6","15.14285714","2","1.0714","No"
"30","1","0","3","53","331","3","0","24","0.873563218","767","0","0","0","0.391666667","0","0","24.36666667","6","2.6333","No"
"14","2","0","6","25","77","3","3","11","0.861538462","212","0.8","0","0.5","0.517857143","1","5","13.78571429","2","1","No"
"12","1","0","14","37","66","14","0","10","1.090909091","494","1","0","0","0.273809524","0","0","40.08333333","10","2.5833","Yes"
"12","2","0","6","22","46","3","3","10","0.818181818","128","0.5","0","0.55","0.4","1","6","9.5","2","1","No"
"4","1","0","3","4","6","1","2","4","2","4","0","0","0","0.583333333","0","0","0","1","1","No"
"23","2","0","7","37","219","2","5","21","0.850649351","345","0.857142857","0","0.35483871","0.347826087","1","5","13.69565217","6","1.5652","No"
"14","2","0","8","26","69","4","4","12","0.743589744","187","0.666666667","0","0.5","0.321428571","1","6","12.14285714","3","1.1429","No"
"29","2","0","7","53","100","2","6","28","0.75","556","0.888888889","3","0.212121212","0.221674877","1","2","17.86206897","5","1.0345","Yes"
"4","1","0","1","4","6","1","0","4","2","4","0","0","0","0.5","0","0","0","1","1","No"
"0","1","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","No"
"14","2","0","7","26","57","3","4","12","0.769230769","195","0.666666667","0","0.5","0.482142857","1","6","12.71428571","2","0.8571","No"
"25","2","0","11","41","258","7","4","23","0.758333333","389","0.8","0","0.333333333","0.257142857","1","6","14.36","7","1.76","No"
"1","1","0","4","1","0","3","1","1","2","1","0","0","0","1","0","0","0","1","1","No"
